Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native of Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools 	State_ID	Region_ID	Division_ID
More than one out-of-school suspension females	"5,537"	23.3	14	0.1	"5,523"	23.3	708	3	35	0.1	"2,548"	10.8	667	2.8	"1,440"	6.1	22	0.1	103	0.4	235	1	"1,920"	4	4	8
More than one out-of-school suspension total	"23,737"	100	87	0.4	"23,650"	99.6	"2,396"	10.1	168	0.7	"10,756"	45.5	"2,739"	11.6	"7,038"	29.8	76	0.3	477	2	"1,208"	5.1	"1,920"	4	4	8
One or more out-of-school suspensions males	"48,821"	73.1	321	0.5	"48,500"	72.7	"3,824"	5.8	467	0.7	"21,718"	32.7	"5,080"	7.7	"16,276"	24.5	138	0.2	997	1.5	"2,652"	4	"1,920"	4	4	8
One or more out-of-school suspensions females	"17,925"	26.9	98	0.1	"17,827"	26.7	"1,942"	2.9	148	0.2	"8,159"	12.3	"2,103"	3.2	"5,095"	7.7	50	0.1	330	0.5	704	1.1	"1,920"	4	4	8
One or more out-of-school suspensions total	"66,746"	100	419	0.6	"66,327"	99.4	"5,766"	8.7	615	0.9	"29,877"	45	"7,183"	10.8	"21,371"	32.2	188	0.3	"1,327"	2	"3,356"	5	"1,920"	4	4	8
Expulsions with educational services males	152	77.9	4	2.1	148	75.9	43	22.5	DS	1	40	20.9	13	6.8	48	25.1	0	0	DS	1	5	2.6	"1,920"	4	4	8
Expulsions with educational services females	43	22.1	0	0	43	22.1	21	11	0	0	9	4.7	DS	1	9	4.7	0	0	DS	1	DS	1	"1,920"	4	4	8
Expulsions with educational services total	195	100	4	2.1	191	97.9	64	33.5	DS	1	49	25.7	15	7.9	57	29.8	0	0	4	2.1	7	3.6	"1,920"	4	4	8
Expulsions without educational services males	398	77.3	DS	0.4	396	76.9	50	9.8	DS	0.4	164	32.1	29	5.7	145	28.4	0	0	6	1.2	7	1.4	"1,920"	4	4	8
Expulsions without educational services females	117	22.7	DS	0.4	115	22.3	21	4.1	0	0	41	8	7	1.4	44	8.6	0	0	DS	0.4	DS	0.4	"1,920"	4	4	8
Expulsions without educational services total	515	100	4	0.8	511	99.2	71	13.9	DS	0.4	205	40.1	36	7	189	37	0	0	8	1.6	9	1.7	"1,920"	4	4	8
Expulsions with or without educational services males	547	77	5	0.7	542	76.3	92	13.1	4	0.6	206	29.3	42	6	191	27.2	0	0	7	1	12	1.7	"1,920"	4	4	8
Expulsions with or without educational services females	163	23	DS	0.3	161	22.7	42	6	0	0	53	7.5	10	1.4	54	7.7	0	0	DS	0.3	DS	0.3	"1,920"	4	4	8
Expulsions with or without educational services total	710	100	7	1	703	99	134	19.1	4	0.6	259	36.8	52	7.4	245	34.9	0	0	9	1.3	14	2	"1,920"	4	4	8
Expulsions under zero-tolerance policies males	251	75.8	0	0	251	75.8	42	12.7	DS	0.6	92	27.8	16	4.8	95	28.7	0	0	4	1.2	4	1.2	"1,920"	4	4	8
Expulsions under zero-tolerance policies females	80	24.2	0	0	80	24.2	13	3.9	0	0	23	6.9	DS	0.6	40	12.1	0	0	DS	0.6	0	0	"1,920"	4	4	8
Expulsions under zero-tolerance policies total	331	100	0	0	331	100	55	16.6	DS	0.6	115	34.7	18	5.4	135	40.8	0	0	6	1.8	4	1.2	"1,920"	4	4	8
Referral to law enforcement males	"3,567"	76.2	24	0.5	"3,543"	75.7	537	11.5	33	0.7	"1,532"	32.9	226	4.9	"1,141"	24.5	8	0.2	66	1.4	69	1.5	"1,920"	4	4	8
Referral to law enforcement females	"1,114"	23.8	5	0.1	"1,109"	23.7	212	4.6	6	0.1	473	10.2	72	1.5	328	7.1	DS	0	16	0.3	19	0.4	"1,920"	4	4	8
Referral to law enforcement total	"4,681"	100	29	0.6	"4,652"	99.4	749	16.1	39	0.8	"2,005"	43.1	298	6.4	"1,469"	31.6	10	0.2	82	1.8	88	1.9	"1,920"	4	4	8
School-related arrests males	"1,228"	76	8	0.5	"1,220"	75.5	187	11.7	11	0.7	560	34.9	78	4.9	360	22.4	4	0.2	20	1.2	13	0.8	"1,920"	4	4	8
School-related arrests females	387	24	DS	0.1	385	23.8	67	4.2	DS	0.1	161	10	32	2	108	6.7	0	0	15	0.9	DS	0.1	"1,920"	4	4	8
School-related arrests total	"1,615"	100	10	0.6	"1,605"	99.4	254	15.8	13	0.8	721	44.9	110	6.9	468	29.2	4	0.2	35	2.2	15	0.9	"1,920"	4	4	8
