County,2000 Labor Force,2000 Unemployed,2000 Percentage,2010 Labor Force,2010 Unemployed,2010 Percentage,2000-2010 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Humboldt,"5,410",120,2.20%,"5,080",270,5.30%,139.60%,19_046,19,2,4,,
Ida,"3,950",90,2.30%,"3,880",200,5.20%,126.20%,19_047,19,2,4,,
Iowa,"9,290",170,1.80%,"8,420",540,6.40%,250.50%,19_048,19,2,4,,
Jackson,"10,370",450,4.30%,"11,020",810,7.40%,69.40%,19_049,19,2,4,,
Jasper,"19,360",410,2.10%,"17,400","1,430",8.20%,288.10%,19_050,19,2,4,,
Jefferson,"9,440",260,2.80%,"7,910",640,8.10%,193.80%,19_051,19,2,4,,
Johnson,"69,400","1,400",2.00%,"80,300","3,500",4.40%,116.10%,19_052,19,2,4,,
Jones,"9,630",240,2.50%,"10,700",700,6.50%,162.50%,19_053,19,2,4,,
Keokuk,"5,020",200,4.00%,"5,530",370,6.70%,67.90%,19_054,19,2,4,,
Kossuth,"8,410",230,2.70%,"8,930",430,4.80%,76.10%,19_055,19,2,4,,
Lee,"18,710",870,4.60%,"17,170","1,670",9.70%,109.20%,19_056,19,2,4,,
Linn,"116,900","2,100",1.80%,"122,600","7,400",6.00%,236.00%,19_057,19,2,4,,
Louisa,"5,420",190,3.50%,"5,840",410,7.00%,100.30%,19_058,19,2,4,,
Lucas,"4,050",110,2.70%,"4,750",270,5.70%,109.30%,19_059,19,2,4,,
Lyon,"5,460",130,2.40%,"6,940",250,3.60%,51.30%,19_119,19,2,4,,
Madison,"7,330",260,3.50%,"8,200",600,7.30%,106.30%,19_121,19,2,4,,
Mahaska,"11,220",240,2.10%,"11,580",820,7.10%,231.00%,19_123,19,2,4,,
Marion,"19,020",400,2.10%,"17,030","1,070",6.30%,198.80%,19_125,19,2,4,,
Marshall,"20,220",500,2.50%,"20,320","1,390",6.80%,176.60%,19_127,19,2,4,,
Mills,"6,380",120,1.90%,"7,890",350,4.40%,135.80%,19_129,19,2,4,,
Mitchell,"5,380",140,2.60%,"5,550",300,5.40%,107.70%,19_131,19,2,4,,
Monona,"4,880",160,3.30%,"4,530",360,7.90%,142.40%,19_133,19,2,4,,
Monroe,"4,200",120,2.90%,"4,270",290,6.80%,137.70%,19_135,19,2,4,,
Montgomery,"5,820",190,3.30%,"5,090",430,8.40%,158.80%,19_137,19,2,4,,
Muscatine,"21,950",600,2.70%,"23,350","1,770",7.60%,177.30%,19_139,19,2,4,,
O'Brien,"7,720",160,2.10%,"7,840",390,5.00%,140.00%,19_141,19,2,4,,
Osceola,"3,690",90,2.40%,"3,240",180,5.60%,127.80%,19_143,19,2,4,,
Page,"9,030",240,2.70%,"7,530",500,6.60%,149.80%,19_145,19,2,4,,
Palo Alto,"5,180",100,1.90%,"5,140",300,5.80%,202.30%,19_147,19,2,4,,
Plymouth,"13,290",370,2.80%,"14,480",660,4.60%,63.70%,19_149,19,2,4,,
Pocahontas,"3,760",100,2.70%,"4,030",210,5.20%,95.90%,19_151,19,2,4,,
Polk,"216,100","4,400",2.00%,"241,600","14,800",6.10%,200.90%,19_153,19,2,4,,
Pottawattamie,"48,500","1,200",2.50%,"48,100","2,510",5.20%,110.90%,19_155,19,2,4,,
Poweshiek,"10,350",310,3.00%,"10,340",610,5.90%,97.00%,19_157,19,2,4,,
Ringgold,"2,580",70,2.70%,"2,450",130,5.30%,95.60%,19_159,19,2,4,,
Sac,"5,790",150,2.60%,"5,790",270,4.70%,80.00%,19_161,19,2,4,,
Scott,"85,300","2,400",2.80%,"89,950","6,210",6.90%,145.40%,19_163,19,2,4,,
Shelby,"6,780",160,2.40%,"7,520",310,4.10%,74.70%,19_165,19,2,4,,
Sioux,"17,760",410,2.30%,"19,790",770,3.90%,68.50%,19_167,19,2,4,,
Story,"47,280",950,2.00%,"48,900","2,300",4.70%,134.10%,19_169,19,2,4,,
Tama,"8,740",320,3.70%,"8,860",610,6.90%,88.00%,19_171,19,2,4,,
Taylor,"3,410",120,3.50%,"3,320",180,5.40%,54.10%,19_173,19,2,4,,
Union,"6,430",220,3.40%,"7,040",400,5.70%,66.10%,19_175,19,2,4,,
Van Buren,"4,180",140,3.30%,"3,790",300,7.90%,136.30%,19_177,19,2,4,,
Wapello,"17,510",600,3.40%,"18,580","1,490",8.00%,134.00%,19_179,19,2,4,,
Warren,"22,900",400,1.70%,"25,700","1,500",5.80%,234.10%,19_181,19,2,4,,
Washington,"11,140",220,2.00%,"11,800",600,5.10%,157.50%,19_183,19,2,4,,
Wayne,"2,900",80,2.80%,"3,260",180,5.50%,100.20%,19_185,19,2,4,,
Webster,"20,030",570,2.80%,"19,170","1,450",7.60%,165.80%,19_187,19,2,4,,
Winnebago,"6,460",130,2.00%,"5,630",400,7.10%,253.10%,19_189,19,2,4,,
Winneshiek,"12,310",380,3.10%,"12,270",680,5.50%,79.50%,19_191,19,2,4,,
Woodbury,"53,200","1,400",2.60%,"55,700","3,700",6.60%,152.40%,19_193,19,2,4,,
Worth,"4,090",130,3.20%,"4,400",310,7.00%,121.70%,19_195,19,2,4,,
Wright,"6,930",160,2.30%,"6,930",490,7.10%,206.30%,19_197,19,2,4,,
State,"1,586,080","41,080",2.60%,"1,670,620","102,700",6.10%,137.30%,,19,2,4,,
Rural,"244,640","7,210",2.90%,"246,270","15,490",6.30%,113.40%,,,,,,IA_Rural_Counties
Small Urban,"587,460","16,420",2.80%,"609,000","39,090",6.40%,129.60%,,,,,,IA_Urban_Counties
Metropolitan,"753,980","17,450",2.30%,"815,350","48,120",5.90%,155.00%,,,,,,IA_Metropolitan_Counties
United States,"142,583,000","5,692,000",4.00%,"153,889,000","14,825,000",9.60%,141.30%,,,,,US_National,
