State	Nation_ID	State_ID	Region_ID	Division_ID	Total Non-IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Indiana		18	2	3	138	0	0	4	2.9	4	2.9	33	23.9	93	67.4	0	0	4	2.9	0	0	DS	1.4	"1,875"
Iowa		19	2	4	61	DS	3.3	DS	3.3	5	8.2	11	18	39	63.9	0	0	DS	3.3	DS	3.3	0	0	"1,458"
Kansas		20	2	4	13	0	0	0	0	DS	15.4	DS	15.4	7	53.8	0	0	DS	15.4	0	0	0	0	"1,389"
Kentucky		21	3	6	16	0	0	0	0	DS	12.5	4	25	8	50	0	0	DS	12.5	0	0	0	0	"1,417"
Louisiana		22	3	7	22	0	0	0	0	0	0	17	77.3	5	22.7	0	0	0	0	DS	9.1	0	0	"1,394"
Maine		23	1	1	8	0	0	0	0	DS	25	0	0	6	75	0	0	0	0	0	0	0	0	595
Maryland		24	3	5	9	0	0	0	0	0	0	5	55.6	DS	22.2	0	0	DS	22.2	0	0	0	0	"1,444"
Massachusetts		25	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	223	DS	0.9	DS	0.9	14	6.3	12	5.4	191	85.7	0	0	DS	0.9	DS	0.9	0	0	"3,626"
Minnesota		27	2	4	14	0	0	0	0	0	0	DS	14.3	12	85.7	0	0	0	0	0	0	DS	14.3	"2,077"
Mississippi		28	3	6	43	DS	4.7	0	0	0	0	12	27.9	29	67.4	0	0	0	0	0	0	0	0	973
Missouri		29	2	4	26	0	0	0	0	DS	7.7	DS	7.7	20	76.9	0	0	DS	7.7	0	0	0	0	"2,312"
Montana		30	4	8	47	4	8.5	0	0	0	0	0	0	43	91.5	0	0	0	0	0	0	0	0	781
Nebraska		31	2	4	26	0	0	0	0	DS	7.7	DS	7.7	20	76.9	0	0	DS	7.7	0	0	0	0	"1,073"
Nevada		32	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	7	0	0	0	0	0	0	0	0	7	100	0	0	0	0	0	0	0	0	478
New Jersey		34	1	2	7	0	0	0	0	DS	28.6	5	71.4	0	0	0	0	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	0	0	853
New York		36	1	2	36	0	0	0	0	DS	5.6	8	22.2	24	66.7	0	0	DS	5.6	DS	5.6	DS	5.6	"4,864"
North Carolina		37	3	5	13	0	0	0	0	0	0	11	84.6	DS	15.4	0	0	0	0	0	0	0	0	"2,535"
North Dakota		38	2	4	13	DS	15.4	0	0	0	0	DS	15.4	9	69.2	0	0	0	0	0	0	0	0	468
Ohio		39	2	3	69	0	0	0	0	DS	2.9	17	24.6	48	69.6	0	0	DS	2.9	0	0	0	0	"3,702"
Oklahoma		40	3	7	63	8	12.7	0	0	5	7.9	24	38.1	17	27	DS	3.2	7	11.1	0	0	0	0	"1,774"
Oregon		41	9	4	8	0	0	0	0	0	0	DS	25	4	50	0	0	DS	25	0	0	0	0	"1,312"
Pennsylvania		42	1	2	88	DS	2.3	0	0	DS	2.3	26	29.5	58	65.9	0	0	0	0	0	0	0	0	"3,220"
Rhode Island		44	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291
South Carolina		45	3	5	19	0	0	0	0	0	0	12	63.2	7	36.8	0	0	0	0	0	0	0	0	"1,219"
South Dakota		46	2	4	7	DS	28.6	0	0	0	0	0	0	5	71.4	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	50	0	0	0	0	0	0	27	54	21	42	0	0	DS	4	0	0	0	0	"1,802"
Texas		48	3	7	583	DS	0.3	8	1.4	234	40.1	125	21.4	191	32.8	0	0	23	3.9	21	3.6	11	1.9	"8,472"
Utah		49	4	8	519	6	1.2	8	1.5	135	26	5	1	339	65.3	13	2.5	13	2.5	DS	0.4	44	8.5	981
Vermont		50	1	1	6	0	0	0	0	0	0	0	0	6	100	0	0	0	0	DS	33.3	0	0	295
Virginia		51	3	5	31	0	0	DS	6.5	0	0	22	71	7	22.6	0	0	0	0	DS	6.5	0	0	"1,984"
Washington		53	4	9	241	10	4.1	DS	0.8	42	17.4	DS	0.8	174	72.2	0	0	11	4.6	0	0	0	0	"2,256"
West Virginia		54	3	5	15	0	0	0	0	0	0	DS	13.3	13	86.7	0	0	0	0	0	0	0	0	733
Wisconsin		55	2	3	187	DS	1.1	DS	1.1	7	3.7	17	9.1	154	82.4	0	0	5	2.7	0	0	DS	1.1	"2,242"
Wyoming		56	4	8	6	0	0	DS	33.3	0	0	0	0	4	66.7	0	0	0	0	0	0	0	0	349
