County,2000 Labor Force,2000 Unemployed,2007 Percentage,2000 Labor Force,2007 Unemployed,Percentage2007 ,2000-2007 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Monona,"4,880",160,3.30%,"4,570",260,5.70%,73.50%,19_133,19,2,4,,
Monroe,"4,200",120,2.90%,"4,210",180,4.30%,49.60%,19_135,19,2,4,,
Montgomery,"5,820",190,3.30%,"5,560",350,6.30%,92.80%,19_137,19,2,4,,
Muscatine,"21,950",600,2.70%,"24,000",840,3.50%,28.00%,19_139,19,2,4,,
O'Brien,"7,720",160,2.10%,"7,720",250,3.20%,56.30%,19_141,19,2,4,,
Osceola,"3,690",90,2.40%,"3,350",120,3.60%,46.90%,19_143,19,2,4,,
Page,"9,030",240,2.70%,"8,390",400,4.80%,79.40%,19_145,19,2,4,,
Palo Alto,"5,180",100,1.90%,"5,450",190,3.50%,80.60%,19_147,19,2,4,,
Plymouth,"13,290",370,2.80%,"14,410",460,3.20%,14.70%,19_149,19,2,4,,
Pocahontas,"3,760",100,2.70%,"4,090",140,3.40%,28.70%,19_151,19,2,4,,
Polk,"216,100","4,400",2.00%,"237,000","8,400",3.50%,74.10%,19_153,19,2,4,,
Pottawattamie,"48,500","1,200",2.50%,"48,970","1,920",3.90%,58.50%,19_155,19,2,4,,
Poweshiek,"10,350",310,3.00%,"10,850",440,4.10%,35.40%,19_157,19,2,4,,
Ringgold,"2,580",70,2.70%,"2,460",110,4.50%,64.80%,19_159,19,2,4,,
Sac,"5,790",150,2.60%,"5,840",210,3.60%,38.80%,19_161,19,2,4,,
Scott,"85,300","2,400",2.80%,"88,490","3,340",3.80%,34.10%,19_163,19,2,4,,
Shelby,"6,780",160,2.40%,"7,510",250,3.30%,41.10%,19_165,19,2,4,,
Sioux,"17,760",410,2.30%,"19,290",510,2.60%,14.50%,19_167,19,2,4,,
Story,"47,280",950,2.00%,"48,000","1,300",2.70%,34.80%,19_169,19,2,4,,
Tama,"8,740",320,3.70%,"9,040",400,4.40%,20.90%,19_171,19,2,4,,
Taylor,"3,410",120,3.50%,"3,330",140,4.20%,19.50%,19_173,19,2,4,,
Union,"6,430",220,3.40%,"6,550",280,4.30%,24.90%,19_175,19,2,4,,
Van Buren,"4,180",140,3.30%,"3,950",170,4.30%,28.50%,19_177,19,2,4,,
Wapello,"17,510",600,3.40%,"18,840",840,4.50%,30.10%,19_179,19,2,4,,
Warren,"22,900",400,1.70%,"25,700",900,3.50%,100.50%,19_181,19,2,4,,
Washington,"11,140",220,2.00%,"12,700",400,3.10%,59.50%,19_183,19,2,4,,
Wayne,"2,900",80,2.80%,"3,230",150,4.60%,68.30%,19_185,19,2,4,,
Webster,"20,030",570,2.80%,"19,800",810,4.10%,43.80%,19_187,19,2,4,,
Winnebago,"6,460",130,2.00%,"5,780",210,3.60%,80.50%,19_189,19,2,4,,
Winneshiek,"12,310",380,3.10%,"12,370",470,3.80%,23.10%,19_191,19,2,4,,
Woodbury,"53,200","1,400",2.60%,"54,700","2,200",4.00%,52.80%,19_193,19,2,4,,
Worth,"4,090",130,3.20%,"4,510",170,3.80%,18.60%,19_195,19,2,4,,
Wright,"6,930",160,2.30%,"7,000",280,4.00%,73.30%,19_197,19,2,4,,
State,"1,586,080","41,080",2.60%,"1,660,910","62,680",3.80%,45.70%,,19,2,4,,
Rural,"251,970","7,470",3.00%,"258,950","10,200",3.90%,32.90%,,,,,,IA_Rural_Counties
Small Urban,"580,130","16,160",2.80%,"606,700","23,920",3.90%,41.50%,,,,,,IA_Urban_Counties
Metropolitan,"753,980","17,450",2.30%,"795,260","28,560",3.60%,55.20%,,,,,,IA_Metropolitan_Counties
United States,"142,583,000","5,692,000",4.00%,"153,124,000","7,078,000",4.60%,15.80%,,,,,US_National,
