Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Native Alaska Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Native Alaska Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension total	"7,888"	100	24	0.3	"7,864"	99.7	130	1.7	74	0.9	"1,810"	23	"2,320"	29.5	"3,149"	40	4	0.1	377	4.8	977	12.4	"1,389"	20	2	4
One or more out-of-school suspensions on males	"14,085"	72.9	52	0.3	"14,033"	72.6	240	1.2	162	0.8	"2,957"	15.3	"3,076"	16	"6,891"	35.8	15	0.1	692	3.6	"1,561"	8.1	"1,389"	20	2	4
One or more out-of-school suspensions on females	"5,247"	27.1	11	0.1	"5,236"	27.1	82	0.4	34	0.2	"1,176"	6.1	"1,512"	7.8	"2,161"	11.2	4	0	267	1.4	538	2.8	"1,389"	20	2	4
One or more out-of-school suspensions total	"19,332"	100	63	0.3	"19,269"	99.7	322	1.7	196	1	"4,133"	21.4	"4,588"	23.8	"9,052"	47	19	0.1	959	5	"2,099"	10.9	"1,389"	20	2	4
Expulsions with educational services on males	321	79.5	0	0	321	79.5	15	3.7	4	1	36	8.9	78	19.3	175	43.3	0	0	13	3.2	11	2.7	"1,389"	20	2	4
Expulsions with educational services on females	83	20.5	0	0	83	20.5	4	1	DS	0.5	10	2.5	11	2.7	46	11.4	0	0	10	2.5	0	0	"1,389"	20	2	4
Expulsions with educational services total	404	100	0	0	404	100	19	4.7	6	1.5	46	11.4	89	22	221	54.7	0	0	23	5.7	11	2.7	"1,389"	20	2	4
Expulsions without educational services on males	230	81.3	DS	0.7	228	80.6	4	1.4	DS	0.7	38	13.6	25	9	146	52.3	0	0	13	4.7	14	4.9	"1,389"	20	2	4
Expulsions without educational services on females	53	18.7	DS	0.7	51	18	DS	0.7	DS	0.7	9	3.2	10	3.6	24	8.6	DS	0.7	DS	0.7	DS	0.7	"1,389"	20	2	4
Expulsions without educational services total	283	100	4	1.4	279	98.6	6	2.2	4	1.4	47	16.8	35	12.5	170	60.9	DS	0.7	15	5.4	16	5.7	"1,389"	20	2	4
Expulsions with or without educational services on males	551	81.1	DS	0.3	549	80.9	20	3	7	1	74	11	102	15.1	320	47.4	0	0	26	3.9	24	3.5	"1,389"	20	2	4
Expulsions with or without educational services on females	128	18.9	DS	0.3	126	18.6	4	0.6	DS	0.3	17	2.5	20	3	70	10.4	DS	0.3	11	1.6	DS	0.3	"1,389"	20	2	4
Expulsions with or without educational services total	679	100	4	0.6	675	99.4	24	3.6	9	1.3	91	13.5	122	18.1	390	57.8	DS	0.3	37	5.5	26	3.8	"1,389"	20	2	4
Expulsions under zero-tolerance policies on males	244	76.5	0	0	244	76.5	7	2.2	DS	0.6	40	12.5	47	14.7	124	38.9	0	0	24	7.5	12	3.8	"1,389"	20	2	4
Expulsions under zero-tolerance policies on females	75	23.5	0	0	75	23.5	DS	0.6	0	0	10	3.1	16	5	37	11.6	DS	0.6	8	2.5	DS	0.6	"1,389"	20	2	4
Expulsions under zero-tolerance policies total	319	100	0	0	319	100	9	2.8	DS	0.6	50	15.7	63	19.7	161	50.5	DS	0.6	32	10	14	4.4	"1,389"	20	2	4
Referral to law enforcement on males	"1,675"	74.9	12	0.5	"1,663"	74.4	15	0.7	13	0.6	325	14.7	334	15.1	855	38.5	4	0.2	117	5.3	106	4.7	"1,389"	20	2	4
Referral to law enforcement on females	560	25.1	5	0.2	555	24.8	7	0.3	DS	0.1	105	4.7	133	6	248	11.2	DS	0.1	58	2.6	34	1.5	"1,389"	20	2	4
Referral to law enforcement total	"2,235"	100	17	0.8	"2,218"	99.2	22	1	15	0.7	430	19.4	467	21.1	"1,103"	49.7	6	0.3	175	7.9	140	6.3	"1,389"	20	2	4
School-related arrests on males	991	69.9	4	0.3	987	69.6	28	2	15	1.1	195	13.8	161	11.4	464	32.9	4	0.3	120	8.5	68	4.8	"1,389"	20	2	4
School-related arrests on females	427	30.1	DS	0.1	425	30	11	0.8	0	0	92	6.5	74	5.2	196	13.9	DS	0.1	50	3.5	24	1.7	"1,389"	20	2	4
School-related arrests total	"1,418"	100	6	0.4	"1,412"	99.6	39	2.8	15	1.1	287	20.3	235	16.6	660	46.7	6	0.4	170	12	92	6.5	"1,389"	20	2	4
