Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"5,769"	27.9	100	0.5	"5,669"	27.5	22	0.1	58	0.3	"1,841"	9.1	"1,110"	5.5	"2,350"	11.7	DS	0	286	1.4	397	1.9	"1,834"	22	3	7
More than one out-of-school suspension total	"20,641"	100	502	2.4	"20,139"	97.6	86	0.4	300	1.5	"6,039"	30	"3,697"	18.4	"9,077"	45.1	16	0.1	924	4.6	"1,705"	8.3	"1,834"	22	3	7
One or more out-of-school suspensions on males	"33,193"	69.7	852	1.8	"32,341"	68	135	0.3	641	1.4	"8,882"	19.1	"5,832"	12.5	"15,366"	33	30	0.1	"1,455"	3.1	"3,117"	6.5	"1,834"	22	3	7
One or more out-of-school suspensions on females	"14,402"	30.3	235	0.5	"14,167"	29.8	53	0.1	213	0.5	"4,440"	9.5	"2,869"	6.2	"5,885"	12.7	8	0	699	1.5	"1,145"	2.4	"1,834"	22	3	7
One or more out-of-school suspensions total	"47,595"	100	"1,087"	2.3	"46,508"	97.7	188	0.4	854	1.8	"13,322"	28.6	"8,701"	18.7	"21,251"	45.7	38	0.1	"2,154"	4.6	"4,262"	9	"1,834"	22	3	7
Expulsions with educational services on males	223	83.8	6	2.3	217	81.6	DS	0.8	8	3.1	68	26.2	58	22.3	75	28.8	0	0	6	2.3	23	8.6	"1,834"	22	3	7
Expulsions with educational services on females	43	16.2	0	0	43	16.2	DS	0.8	0	0	10	3.8	17	6.5	14	5.4	0	0	0	0	DS	0.8	"1,834"	22	3	7
Expulsions with educational services total	266	100	6	2.3	260	97.7	4	1.5	8	3.1	78	30	75	28.8	89	34.2	0	0	6	2.3	25	9.4	"1,834"	22	3	7
Expulsions without educational services on males	101	83.5	DS	1.7	99	81.8	DS	1.7	8	6.8	20	17.1	17	14.5	48	41	0	0	4	3.4	7	5.8	"1,834"	22	3	7
Expulsions without educational services on females	20	16.5	DS	1.7	18	14.9	0	0	0	0	DS	1.7	4	3.4	12	10.3	0	0	0	0	DS	1.7	"1,834"	22	3	7
Expulsions without educational services total	121	100	4	3.3	117	96.7	DS	1.7	8	6.8	22	18.8	21	17.9	60	51.3	0	0	4	3.4	9	7.4	"1,834"	22	3	7
Expulsions with or without educational services on males	312	83.2	6	1.6	306	81.6	4	1.1	14	3.8	87	23.7	74	20.2	120	32.7	0	0	7	1.9	32	8.5	"1,834"	22	3	7
Expulsions with or without educational services on females	63	16.8	DS	0.5	61	16.3	DS	0.5	0	0	13	3.5	20	5.4	26	7.1	0	0	0	0	4	1.1	"1,834"	22	3	7
Expulsions with or without educational services total	375	100	8	2.1	367	97.9	6	1.6	14	3.8	100	27.2	94	25.6	146	39.8	0	0	7	1.9	36	9.6	"1,834"	22	3	7
Expulsions under zero-tolerance policies on males	49	86	DS	3.5	47	82.5	DS	3.8	DS	3.8	8	15.1	9	17	26	49.1	0	0	0	0	DS	3.5	"1,834"	22	3	7
Expulsions under zero-tolerance policies on females	8	14	DS	3.5	6	10.5	0	0	0	0	0	0	DS	3.8	4	7.5	0	0	0	0	0	0	"1,834"	22	3	7
Expulsions under zero-tolerance policies total	57	100	4	7	53	93	DS	3.8	DS	3.8	8	15.1	11	20.8	30	56.6	0	0	0	0	DS	3.5	"1,834"	22	3	7
Referral to law enforcement on males	"1,338"	72.6	28	1.5	"1,310"	71.1	4	0.2	18	1	263	14.6	236	13.1	757	42	0	0	32	1.8	50	2.7	"1,834"	22	3	7
Referral to law enforcement on females	504	27.4	12	0.7	492	26.7	0	0	4	0.2	90	5	75	4.2	310	17.2	0	0	13	0.7	10	0.5	"1,834"	22	3	7
Referral to law enforcement total	"1,842"	100	40	2.2	"1,802"	97.8	4	0.2	22	1.2	353	19.6	311	17.3	"1,067"	59.2	0	0	45	2.5	60	3.3	"1,834"	22	3	7
School-related arrests on males	405	69.1	8	1.4	397	67.7	DS	0.3	4	0.7	109	18.9	144	25	128	22.2	0	0	10	1.7	24	4.1	"1,834"	22	3	7
School-related arrests on females	181	30.9	DS	0.3	179	30.5	DS	0.3	4	0.7	67	11.6	65	11.3	34	5.9	0	0	7	1.2	9	1.5	"1,834"	22	3	7
School-related arrests total	586	100	10	1.7	576	98.3	4	0.7	8	1.4	176	30.6	209	36.3	162	28.1	0	0	17	3	33	5.6	"1,834"	22	3	7
