,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciplinary Actions,Wyoming,,Total,149 ,100.0 ,0 ,0.0 ,149 ,100.0 ,10 ,6.7 ,0 ,0.0 ,33 ,22.1 ,6 ,4.0 ,98 ,65.8 ,0 ,0.0 ,1-3 ,1.3 ,4 ,2.7 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,26 ,72.2 ,0 ,0.0 ,26 ,72.2 ,1-3 ,5.6 ,1-3 ,5.6 ,4 ,11.1 ,0 ,0.0 ,18 ,50.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.6 ,349 ,100.0 
Disciplinary Actions,Wyoming,Expulsions without educational services,Female,10 ,27.8 ,0 ,0.0 ,10 ,27.8 ,1-3 ,5.6 ,0 ,0.0 ,1-3 ,5.6 ,0 ,0.0 ,6 ,16.7 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,36 ,100.0 ,0 ,0.0 ,36 ,100.0 ,4 ,11.1 ,1-3 ,5.6 ,6 ,16.7 ,0 ,0.0 ,24 ,66.7 ,0 ,0.0 ,0 ,0.0 ,1-3 ,5.6 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,144 ,80.4 ,0 ,0.0 ,144 ,80.4 ,7 ,3.9 ,1-3 ,1.1 ,32 ,17.9 ,4 ,2.2 ,99 ,55.3 ,0 ,0.0 ,0 ,0.0 ,4 ,2.2 ,349 ,100.0 
Disciplinary Actions,Wyoming,Expulsions with or without educational services,Female,35 ,19.6 ,0 ,0.0 ,35 ,19.6 ,4 ,2.2 ,0 ,0.0 ,8 ,4.5 ,1-3 ,1.1 ,19 ,10.6 ,0 ,0.0 ,1-3 ,1.1 ,1-3 ,1.1 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,179 ,100.0 ,0 ,0.0 ,179 ,100.0 ,11 ,6.1 ,1-3 ,1.1 ,40 ,22.3 ,6 ,3.4 ,118 ,65.9 ,0 ,0.0 ,1-3 ,1.1 ,6 ,3.4 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,25 ,80.6 ,0 ,0.0 ,25 ,80.6 ,1-3 ,6.5 ,0 ,0.0 ,7 ,22.6 ,0 ,0.0 ,16 ,51.6 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,Expulsions under zero-tolerance policies,Female,6 ,19.4 ,0 ,0.0 ,6 ,19.4 ,1-3 ,6.5 ,0 ,0.0 ,1-3 ,6.5 ,0 ,0.0 ,1-3 ,6.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,31 ,100.0 ,0 ,0.0 ,31 ,100.0 ,4 ,12.9 ,0 ,0.0 ,9 ,29.0 ,0 ,0.0 ,18 ,58.1 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,726 ,73.0 ,1-3 ,0.2 ,724 ,72.8 ,32 ,3.2 ,1-3 ,0.2 ,117 ,11.8 ,27 ,2.7 ,542 ,54.6 ,0 ,0.0 ,4 ,0.4 ,12 ,1.2 ,349 ,100.0 
Disciplinary Actions,Wyoming,Referral to law enforcement,Female,268 ,27.0 ,0 ,0.0 ,268 ,27.0 ,4 ,0.4 ,1-3 ,0.2 ,47 ,4.7 ,7 ,0.7 ,206 ,20.8 ,0 ,0.0 ,1-3 ,0.2 ,6 ,0.6 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,994 ,100.0 ,1-3 ,0.2 ,992 ,99.8 ,36 ,3.6 ,4 ,0.4 ,164 ,16.5 ,34 ,3.4 ,748 ,75.4 ,0 ,0.0 ,6 ,0.6 ,18 ,1.8 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Male,40 ,80.0 ,0 ,0.0 ,40 ,80.0 ,0 ,0.0 ,1-3 ,4.0 ,17 ,34.0 ,1-3 ,4.0 ,19 ,38.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,4.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,School-related arrests,Female,10 ,20.0 ,0 ,0.0 ,10 ,20.0 ,0 ,0.0 ,0 ,0.0 ,4 ,8.0 ,0 ,0.0 ,6 ,12.0 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,349 ,100.0 
Disciplinary Actions,Wyoming,,Total,50 ,100.0 ,0 ,0.0 ,50 ,100.0 ,0 ,0.0 ,1-3 ,4.0 ,21 ,42.0 ,1-3 ,4.0 ,25 ,50.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,4.0 ,349 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1 Data by race/ethnicity were collected only for students without disabilities and students with disabilities served under the Individuals with Disabilities Education Act (IDEA), but not for students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,  Percentages reflect the race/ethnic composition of students without disabilities and students with disabilities served under IDEA.,,,,,,,,,,,,,,,,,,,,,,,,,,
,2 Percentage over all public school students without disabilities and students with disabilities (both served under IDEA and served solely under Section 504).,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 16 public school students who received corporal punishment, 0 (0.0%) were students with disabilities served solely under Section 504 and 16 (100.0%) were students without disabilities or with disabilities served under IDEA.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            Table reads:  Of all 16 public school students without disabilities or with disabilities served under IDEA who received corporal punishment, 0 (0.0%) were American Indian or Alaska Native.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,16,,0,,16,,0,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
