County,2003 4th Gr. Math Proficiency,2007 4th Gr. Math Proficiency,2003-2007 4th Gr. Change,2003 8th Gr. Math Proficiency,2007 8th Gr. Math Proficiency,2003-2007 8th Gr. Change,2003 11th Gr. Math proficiency,2007 11th Gr. Math Proficiency,2003-2007 11th Gr. Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Crawford,86.60%,77.50%,-10.50%,79.50%,72.80%,-8.40%,85.50%,77.00%,-9.90%,19_024,19,2,4,,
Dallas,80.60%,86.60%,7.40%,78.80%,79.90%,1.40%,81.60%,81.80%,0.20%,19_025,19,2,4,,
Davis,74.60%,70.40%,-5.60%,64.70%,84.30%,30.30%,69.00%,74.90%,8.60%,19_026,19,2,4,,
Decatur,63.30%,74.50%,17.70%,76.00%,63.10%,-17.00%,77.10%,70.10%,-9.10%,19_027,19,2,4,,
Delaware,77.30%,81.00%,4.80%,81.50%,83.60%,2.60%,84.20%,81.80%,-2.90%,19_028,19,2,4,,
Des Moines,73.40%,79.50%,8.30%,65.60%,70.40%,7.30%,74.50%,77.00%,3.40%,19_029,19,2,4,,
Dickinson,87.10%,87.50%,0.50%,77.30%,77.90%,0.80%,84.20%,86.40%,2.60%,19_030,19,2,4,,
Dubuque,67.50%,81.00%,20.00%,70.50%,75.50%,7.10%,78.80%,79.90%,1.40%,19_031,19,2,4,,
Emmet,75.60%,78.00%,3.20%,73.30%,69.70%,-4.90%,65.10%,73.60%,13.10%,19_032,19,2,4,,
Fayette,74.40%,82.50%,10.90%,74.90%,77.50%,3.50%,80.60%,80.00%,-0.70%,19_033,19,2,4,,
Floyd,74.40%,82.70%,11.20%,73.10%,77.50%,6.00%,79.80%,77.60%,-2.80%,19_034,19,2,4,,
Franklin,69.00%,78.00%,13.00%,72.60%,69.90%,-3.70%,77.30%,78.00%,0.90%,19_035,19,2,4,,
Fremont,67.00%,75.30%,12.40%,63.50%,71.20%,12.10%,77.10%,75.60%,-1.90%,19_036,19,2,4,,
Greene,71.50%,77.00%,7.70%,69.40%,72.90%,5.00%,78.10%,72.30%,-7.40%,19_037,19,2,4,,
Grundy,86.60%,85.30%,-1.50%,78.50%,86.70%,10.40%,86.00%,80.70%,-6.20%,19_038,19,2,4,,
Guthrie,78.90%,85.70%,8.60%,69.50%,79.40%,14.20%,77.50%,82.80%,6.80%,19_039,19,2,4,,
Hamilton,83.00%,87.20%,5.10%,74.70%,79.80%,6.80%,77.70%,80.10%,3.10%,19_040,19,2,4,,
Hancock,77.10%,83.20%,7.90%,72.40%,77.60%,7.20%,85.10%,82.60%,-2.90%,19_041,19,2,4,,
Hardin,78.50%,84.50%,7.60%,70.90%,76.10%,7.30%,78.00%,77.80%,-0.30%,19_042,19,2,4,,
Harrison,69.60%,78.50%,12.80%,66.50%,73.40%,10.40%,76.20%,76.00%,-0.30%,19_043,19,2,4,,
Henry,73.50%,78.40%,6.70%,71.50%,69.90%,-2.20%,76.20%,73.60%,-3.40%,19_044,19,2,4,,
Howard,79.70%,81.30%,2.00%,76.20%,84.60%,11.00%,75.00%,85.40%,13.90%,19_045,19,2,4,,
Humboldt,82.20%,81.90%,-0.40%,80.10%,78.00%,-2.60%,79.60%,83.70%,5.20%,19_046,19,2,4,,
Ida,81.30%,85.90%,5.70%,81.50%,81.00%,-0.60%,88.00%,83.10%,-5.60%,19_047,19,2,4,,
Iowa,77.10%,86.40%,12.10%,70.50%,80.20%,13.80%,84.20%,84.90%,0.80%,19_048,19,2,4,,
Jackson,76.00%,82.30%,8.30%,73.00%,71.40%,-2.20%,75.90%,80.40%,5.90%,19_049,19,2,4,,
Jasper,75.20%,80.60%,7.20%,68.80%,75.50%,9.70%,77.50%,81.80%,5.50%,19_050,19,2,4,,
Jefferson,81.80%,83.90%,2.60%,78.90%,81.20%,2.90%,84.60%,77.20%,-8.70%,19_051,19,2,4,,
Johnson,79.20%,76.40%,-3.50%,80.60%,78.70%,-2.40%,87.90%,85.90%,-2.30%,19_052,19,2,4,,
Jones,77.80%,86.50%,11.20%,76.40%,77.00%,0.80%,77.00%,77.80%,1.00%,19_053,19,2,4,,
Keokuk,74.60%,83.00%,11.30%,69.70%,77.30%,10.90%,70.10%,76.10%,8.60%,19_054,19,2,4,,
Kossuth,79.20%,84.30%,6.40%,73.20%,82.60%,12.80%,82.70%,83.90%,1.50%,19_055,19,2,4,,
Lee,67.70%,81.40%,20.20%,67.50%,70.30%,4.10%,74.60%,72.90%,-2.30%,19_056,19,2,4,,
Linn,74.40%,82.60%,11.00%,74.10%,80.30%,8.40%,82.50%,84.20%,2.10%,19_057,19,2,4,,
Louisa,62.10%,79.80%,28.50%,56.70%,62.50%,10.20%,64.20%,71.20%,10.90%,19_058,19,2,4,,
Lucas,75.40%,77.40%,2.70%,61.80%,84.30%,36.40%,75.00%,70.50%,-6.00%,19_059,19,2,4,,
Lyon,82.80%,83.90%,1.30%,77.60%,80.80%,4.10%,88.70%,83.50%,-5.90%,19_119,19,2,4,,
Madison,73.50%,81.50%,10.90%,75.20%,77.50%,3.10%,81.80%,79.80%,-2.40%,19_121,19,2,4,,
Mahaska,80.00%,86.80%,8.50%,66.10%,71.10%,7.60%,73.00%,75.20%,3.00%,19_123,19,2,4,,
Marion,78.10%,86.90%,11.30%,72.60%,80.30%,10.60%,80.60%,79.40%,-1.50%,19_125,19,2,4,,
Marshall,68.30%,73.50%,7.60%,68.40%,71.90%,5.10%,72.20%,72.40%,0.30%,19_127,19,2,4,,
Mills,72.00%,84.80%,17.80%,76.40%,77.10%,0.90%,82.20%,77.60%,-5.60%,19_129,19,2,4,,
Mitchell,77.60%,81.60%,5.20%,78.30%,77.00%,-1.70%,83.70%,82.50%,-1.40%,19_131,19,2,4,,
Monona,75.50%,76.20%,0.90%,78.40%,81.40%,3.80%,80.90%,78.90%,-2.50%,19_133,19,2,4,,
Monroe,67.60%,77.10%,14.10%,63.30%,73.50%,16.10%,78.70%,74.90%,-4.80%,19_135,19,2,4,,
Montgomery,73.80%,78.40%,6.20%,75.70%,69.80%,-7.80%,80.50%,77.60%,-3.60%,19_137,19,2,4,,
Muscatine,78.10%,85.80%,9.90%,71.10%,80.10%,12.70%,74.30%,80.70%,8.60%,19_139,19,2,4,,
O'Brien,82.10%,87.70%,6.80%,84.60%,84.50%,-0.10%,85.30%,84.60%,-0.80%,19_141,19,2,4,,
Osceola,78.90%,88.10%,11.70%,77.60%,85.70%,10.40%,90.40%,83.90%,-7.20%,19_143,19,2,4,,
Page,71.70%,72.30%,0.80%,69.80%,69.40%,-0.60%,83.40%,78.10%,-6.40%,19_145,19,2,4,,
Palo Alto,83.60%,87.40%,4.50%,76.00%,82.80%,8.90%,81.10%,79.10%,-2.50%,19_147,19,2,4,,
Plymouth,77.30%,83.30%,7.80%,77.50%,82.30%,6.20%,81.00%,85.10%,5.10%,19_149,19,2,4,,
Pocahontas,80.30%,85.90%,7.00%,80.50%,76.10%,-5.50%,80.00%,83.00%,3.70%,19_151,19,2,4,,
Polk,76.90%,80.10%,4.20%,70.60%,73.30%,3.80%,78.90%,74.20%,-6.00%,19_153,19,2,4,,
Pottawattamie,66.10%,74.80%,13.20%,64.60%,69.70%,7.90%,75.30%,73.20%,-2.80%,19_155,19,2,4,,
Poweshiek,84.50%,84.60%,0.10%,74.20%,77.00%,3.80%,79.20%,81.60%,3.00%,19_157,19,2,4,,
Ringgold,80.50%,94.30%,17.10%,76.80%,80.20%,4.40%,70.70%,81.60%,15.40%,19_159,19,2,4,,
Sac,79.70%,76.10%,-4.50%,76.00%,83.30%,9.60%,82.00%,83.30%,1.60%,19_161,19,2,4,,
Scott,68.90%,81.50%,18.30%,62.30%,71.00%,14.00%,73.40%,73.70%,0.40%,19_163,19,2,4,,
Shelby,81.60%,84.40%,3.40%,82.00%,84.80%,3.40%,83.90%,89.70%,6.90%,19_165,19,2,4,,
Sioux,84.70%,88.40%,4.40%,79.50%,83.90%,5.50%,84.90%,85.10%,0.20%,19_167,19,2,4,,
Story,82.60%,85.90%,4.00%,81.10%,84.00%,3.60%,83.40%,85.80%,2.90%,19_169,19,2,4,,
Tama,70.90%,76.20%,7.50%,72.10%,79.60%,10.40%,75.50%,76.10%,0.80%,19_171,19,2,4,,
Taylor,82.60%,89.30%,8.10%,68.20%,84.80%,24.30%,80.80%,75.20%,-6.90%,19_173,19,2,4,,
Union,77.90%,76.20%,-2.20%,71.90%,70.30%,-2.20%,78.40%,73.70%,-6.00%,19_175,19,2,4,,
Van Buren,73.70%,80.90%,9.80%,62.60%,73.70%,17.70%,83.80%,73.50%,-12.30%,19_177,19,2,4,,
Wapello,71.40%,76.90%,7.70%,56.80%,72.60%,27.80%,68.80%,67.50%,-1.90%,19_179,19,2,4,,
Warren,80.80%,87.10%,7.80%,77.40%,83.20%,7.50%,82.40%,80.00%,-2.90%,19_181,19,2,4,,
Washington,70.60%,73.70%,4.40%,77.20%,74.10%,-4.00%,78.70%,83.80%,6.50%,19_183,19,2,4,,
Wayne,76.70%,68.80%,-10.30%,68.60%,77.10%,12.40%,68.50%,70.10%,2.30%,19_185,19,2,4,,
Webster,71.90%,77.10%,7.20%,64.00%,69.30%,8.30%,66.20%,77.30%,16.80%,19_187,19,2,4,,
Winnebago,80.30%,78.60%,-2.10%,72.20%,75.90%,5.10%,86.90%,74.60%,-14.20%,19_189,19,2,4,,
Winneshiek,81.60%,89.90%,10.20%,83.40%,84.80%,1.70%,85.80%,90.30%,5.20%,19_191,19,2,4,,
Woodbury,67.00%,73.50%,9.70%,65.30%,67.10%,2.80%,73.90%,71.10%,-3.80%,19_193,19,2,4,,
Worth,65.00%,84.60%,30.20%,76.70%,75.30%,-1.80%,82.40%,83.20%,1.00%,19_195,19,2,4,,
Wright,77.10%,82.20%,6.60%,70.50%,69.20%,-1.80%,73.30%,75.10%,2.50%,19_197,19,2,4,,
State,75.00%,80.70%,7.60%,71.60%,75.60%,5.60%,79.20%,78.60%,-0.80%,,19,2,4,,
Rural,76.50%,81.50%,6.50%,73.10%,78.50%,7.40%,79.40%,79.50%,0.00%,,,,,,IA_Rural_Counties
Small Urban,77.00%,81.60%,6.00%,73.40%,76.50%,4.20%,78.80%,79.40%,0.80%,,,,,,IA_Urban_Counties
Metropolitan,71.80%,78.90%,9.80%,70.00%,73.80%,5.50%,78.50%,78.20%,-0.30%,,,,,,IA_Metropolitan_Counties
United States*,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,,,,,US_National,
