State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Florida		12	3	5	"10,252"	44	0.4	152	1.5	"2,669"	26	"3,703"	36.1	"3,487"	34	9	0.1	188	1.8	"2,224"	21.7	204	2	819	8	"1,098"
Georgia		13	3	5	"5,114"	19	0.4	147	2.9	630	12.3	"2,628"	51.4	"1,573"	30.8	4	0.1	113	2.2	"1,554"	30.4	23	0.4	179	3.5	565
Hawaii		15	4	9	64	DS	3.1	12	18.8	DS	3.1	4	6.3	13	20.3	29	45.3	DS	3.1	11	17.2	4	6.3	4	6.3	64
Idaho		16	4	8	463	13	2.8	4	0.9	112	24.2	11	2.4	311	67.2	DS	0.4	10	2.2	60	13	13	2.8	15	3.2	215
Illinois		17	2	3	"7,033"	21	0.3	210	3	"1,895"	26.9	"2,059"	29.3	"2,688"	38.2	14	0.2	146	2.1	"2,315"	32.9	49	0.7	343	4.9	876
Indiana		18	2	3	"1,824"	14	0.8	38	2.1	188	10.3	313	17.2	"1,209"	66.3	0	0	62	3.4	613	33.6	18	1	123	6.7	420
Iowa		19	2	4	"1,355"	12	0.9	30	2.2	203	15	178	13.1	900	66.4	DS	0.1	30	2.2	379	28	4	0.3	55	4.1	408
Kansas		20	2	4	681	11	1.6	11	1.6	157	23.1	137	20.1	341	50.1	0	0	24	3.5	285	41.9	10	1.5	41	6	382
Kentucky		21	3	6	819	DS	0.2	6	0.7	32	3.9	183	22.3	582	71.1	DS	0.2	12	1.5	81	9.9	6	0.7	7	0.9	403
Louisiana		22	3	7	"1,699"	6	0.4	16	0.9	75	4.4	"1,014"	59.7	578	34	0	0	10	0.6	416	24.5	46	2.7	46	2.7	389
Maine		23	1	1	358	4	1.1	7	2	7	2	30	8.4	306	85.5	0	0	4	1.1	100	27.9	6	1.7	20	5.6	129
Maryland		24	3	5	"3,169"	13	0.4	84	2.7	374	11.8	"1,802"	56.9	835	26.3	11	0.3	50	1.6	"1,262"	39.8	82	2.6	80	2.5	282
Massachusetts		25	1	1	"2,424"	11	0.5	173	7.1	767	31.6	586	24.2	834	34.4	DS	0.1	51	2.1	798	32.9	59	2.4	273	11.3	381
Michigan		26	2	3	"6,248"	74	1.2	88	1.4	394	6.3	"1,438"	23	"4,135"	66.2	4	0.1	115	1.8	"1,212"	19.4	35	0.6	224	3.6	"1,069"
Minnesota		27	2	4	"3,795"	109	2.9	380	10	381	10	651	17.2	"2,206"	58.1	DS	0.1	66	1.7	"1,249"	32.9	45	1.2	415	10.9	778
Mississippi		28	3	6	"1,340"	DS	0.1	4	0.3	27	2	"1,057"	78.9	250	18.7	0	0	0	0	71	5.3	DS	0.1	13	1	320
Missouri		29	2	4	"2,638"	15	0.6	42	1.6	94	3.6	999	37.9	"1,456"	55.2	DS	0.1	30	1.1	953	36.1	24	0.9	38	1.4	682
Montana		30	4	8	122	39	32	0	0	DS	1.6	4	3.3	75	61.5	0	0	DS	1.6	29	23.8	DS	1.6	0	0	168
Nebraska		31	2	4	928	25	2.7	33	3.6	183	19.7	74	8	578	62.3	DS	0.2	33	3.6	373	40.2	6	0.6	83	8.9	323
Nevada		32	4	8	"5,308"	40	0.8	176	3.3	"2,547"	48	921	17.4	"1,345"	25.3	64	1.2	215	4.1	875	16.5	65	1.2	690	13	144
New Hampshire		33	1	1	685	4	0.6	11	1.6	45	6.6	21	3.1	604	88.2	0	0	0	0	239	34.9	27	3.9	12	1.8	89
New Jersey		34	1	2	"1,747"	0	0	65	3.7	522	29.9	601	34.4	548	31.4	4	0.2	7	0.4	559	32	23	1.3	72	4.1	509
New Mexico		35	4	8	"1,031"	155	15	11	1.1	620	60.1	42	4.1	190	18.4	DS	0.2	11	1.1	168	16.3	4	0.4	160	15.5	207
New York		36	1	2	"4,626"	30	0.6	158	3.4	"1,009"	21.8	"1,271"	27.5	"2,123"	45.9	4	0.1	31	0.7	"1,067"	23.1	97	2.1	375	8.1	"1,344"
North Carolina		37	3	5	"2,624"	25	1	54	2.1	329	12.5	"1,107"	42.2	"1,034"	39.4	4	0.2	71	2.7	820	31.3	36	1.4	166	6.3	605
North Dakota		38	2	4	202	35	17.3	4	2	4	2	14	6.9	143	70.8	0	0	DS	1	71	35.1	8	4	22	10.9	167
Ohio		39	2	3	"3,859"	11	0.3	39	1	193	5	"1,406"	36.4	"2,072"	53.7	DS	0.1	136	3.5	694	18	44	1.1	121	3.1	988
Oklahoma		40	3	7	908	143	15.7	19	2.1	162	17.8	140	15.4	425	46.8	DS	0.2	17	1.9	170	18.7	8	0.9	67	7.4	505
Oregon		41	9	4	"2,969"	88	3	77	2.6	645	21.7	85	2.9	"1,930"	65	23	0.8	121	4.1	673	22.7	63	2.1	225	7.6	364
Pennsylvania		42	1	2	"4,054"	7	0.2	56	1.4	546	13.5	986	24.3	"2,374"	58.6	4	0.1	81	2	"1,285"	31.7	48	1.2	77	1.9	798
Rhode Island		44	1	1	534	4	0.7	13	2.4	151	28.3	65	12.2	291	54.5	4	0.7	6	1.1	190	35.6	12	2.2	18	3.4	57
South Carolina		45	3	5	"1,701"	8	0.5	11	0.6	95	5.6	773	45.4	786	46.2	4	0.2	24	1.4	474	27.9	22	1.3	59	3.5	265
South Dakota		46	2	4	354	39	11	7	2	33	9.3	38	10.7	233	65.8	0	0	4	1.1	47	13.3	DS	0.6	27	7.6	187
Tennessee		47	3	6	"1,703"	4	0.2	24	1.4	66	3.9	967	56.8	634	37.2	4	0.2	4	0.2	318	18.7	9	0.5	66	3.9	406
Texas		48	3	7	"20,188"	90	0.4	516	2.6	"11,140"	55.2	"3,137"	15.5	"4,966"	24.6	34	0.2	305	1.5	"5,606"	27.8	521	2.6	"2,244"	11.1	"2,144"
Utah		49	4	8	961	17	1.8	9	0.9	123	12.8	22	2.3	767	79.8	12	1.2	11	1.1	664	69.1	6	0.6	47	4.9	205
Vermont		50	1	1	224	DS	0.9	DS	0.9	4	1.8	7	3.1	205	91.5	0	0	4	1.8	86	38.4	13	5.8	4	1.8	65
Virginia		51	3	5	"4,246"	6	0.1	209	4.9	730	17.2	"2,010"	47.3	"1,201"	28.3	8	0.2	82	1.9	893	21	47	1.1	460	10.8	428
Washington		53	4	9	"8,591"	188	2.2	465	5.4	"1,906"	22.2	535	6.2	"4,957"	57.7	104	1.2	436	5.1	"2,399"	27.9	182	2.1	659	7.7	637
West Virginia		54	3	5	"1,539"	DS	0.1	9	0.6	4	0.3	63	4.1	"1,459"	94.8	0	0	DS	0.1	97	6.3	DS	0.1	6	0.4	158
Wisconsin		55	2	3	"2,926"	69	2.4	123	4.2	397	13.6	634	21.7	"1,650"	56.4	4	0.1	49	1.7	674	23	15	0.5	224	7.7	604
Wyoming		56	4	8	246	7	2.8	DS	0.8	43	17.5	4	1.6	186	75.6	0	0	4	1.6	105	42.7	4	1.6	12	4.9	88
