Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
One or more out-of-school suspensions on males	"5,315"	74.1	87	1.2	"5,228"	72.9	44	0.6	29	0.4	96	1.4	338	4.8	"4,665"	66	4	0.1	52	0.7	202	2.8	595	23	1	1
One or more out-of-school suspensions on females	"1,861"	25.9	18	0.3	"1,843"	25.7	18	0.3	15	0.2	41	0.6	107	1.5	"1,633"	23.1	DS	0	27	0.4	73	1	595	23	1	1
One or more out-of-school suspensions total	"7,176"	100	105	1.5	"7,071"	98.5	62	0.9	44	0.6	137	1.9	445	6.3	"6,298"	89.1	6	0.1	79	1.1	275	3.8	595	23	1	1
Expulsions with educational services on males	39	79.6	DS	4.1	37	75.5	0	0	DS	4.3	DS	4.3	4	8.5	29	61.7	0	0	0	0	4	8.2	595	23	1	1
Expulsions with educational services on females	10	20.4	0	0	10	20.4	0	0	0	0	0	0	DS	4.3	8	17	0	0	0	0	0	0	595	23	1	1
Expulsions with educational services total	49	100	DS	4.1	47	95.9	0	0	DS	4.3	DS	4.3	6	12.8	37	78.7	0	0	0	0	4	8.2	595	23	1	1
Expulsions without educational services on males	61	93.8	0	0	61	93.8	0	0	0	0	DS	3.1	DS	3.1	55	84.6	0	0	DS	3.1	0	0	595	23	1	1
Expulsions without educational services on females	4	6.2	0	0	4	6.2	0	0	0	0	0	0	0	0	4	6.2	0	0	0	0	0	0	595	23	1	1
Expulsions without educational services total	65	100	0	0	65	100	0	0	0	0	DS	3.1	DS	3.1	59	90.8	0	0	DS	3.1	0	0	595	23	1	1
Expulsions with or without educational services on males	97	87.4	DS	1.8	95	85.6	0	0	DS	1.8	4	3.7	4	3.7	83	76.1	0	0	DS	1.8	4	3.6	595	23	1	1
Expulsions with or without educational services on females	14	12.6	0	0	14	12.6	0	0	0	0	0	0	DS	1.8	12	11	0	0	0	0	0	0	595	23	1	1
Expulsions with or without educational services total	111	100	DS	1.8	109	98.2	0	0	DS	1.8	4	3.7	6	5.5	95	87.2	0	0	DS	1.8	4	3.6	595	23	1	1
Expulsions under zero-tolerance policies on males	20	74.1	DS	7.4	18	66.7	0	0	0	0	DS	8	DS	8	14	56	0	0	0	0	0	0	595	23	1	1
Expulsions under zero-tolerance policies on females	7	25.9	0	0	7	25.9	0	0	0	0	0	0	0	0	7	28	0	0	0	0	0	0	595	23	1	1
Expulsions under zero-tolerance policies total	27	100	DS	7.4	25	92.6	0	0	0	0	DS	8	DS	8	21	84	0	0	0	0	0	0	595	23	1	1
Referral to law enforcement on males	515	74.2	11	1.6	504	72.6	4	0.6	6	0.9	10	1.5	33	4.8	445	65.3	DS	0.3	4	0.6	13	1.9	595	23	1	1
Referral to law enforcement on females	179	25.8	DS	0.3	177	25.5	DS	0.3	DS	0.3	4	0.6	11	1.6	156	22.9	0	0	DS	0.3	4	0.6	595	23	1	1
Referral to law enforcement total	694	100	13	1.9	681	98.1	6	0.9	8	1.2	14	2.1	44	6.5	601	88.3	DS	0.3	6	0.9	17	2.4	595	23	1	1
School-related arrests on males	85	81	DS	1.9	83	79	0	0	DS	2	DS	2	DS	2	75	74.3	0	0	DS	2	DS	1.9	595	23	1	1
School-related arrests on females	20	19	DS	1.9	18	17.1	0	0	0	0	0	0	0	0	18	17.8	0	0	0	0	0	0	595	23	1	1
School-related arrests total	105	100	4	3.8	101	96.2	0	0	DS	2	DS	2	DS	2	93	92.1	0	0	DS	2	DS	1.9	595	23	1	1
