Discipline by gender	Number of Students Without Disabilities	Percent of Students Without Disabilities	Number of American Indian or Alaska Native Students Without Disabilities	Percent of American Indian or Alaska Native Students Without Disabilities	Number of Asian Students Without Disabilities	Percent of Asian Students Without Disabilities	Number of Hispanic or Latino of any race Students Without Disabilities	Percent of Hispanic or Latino of any race Students Without Disabilities	Number of Black or African American Students Without Disabilities	Percent of Black or African American Students Without Disabilities	Number of White Students Without Disabilities	Percent of White Students Without Disabilities	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities	Number of Two or more races Students Without Disabilities	Percent of Two or more races Students Without Disabilities	Number of English Language Learners Without Disabilities 	Percent of English Language Learners Without Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
Expulsions with educational services on females	353	25.9	26	1.9	DS	0.1	91	6.7	10	0.7	203	14.9	DS	0.1	19	1.4	21	1.5	"1,312"	41	4	9
Expulsions with educational services total	"1,362"	100	62	4.6	8	0.6	358	26.3	51	3.7	811	59.5	9	0.7	63	4.6	87	6.4	"1,312"	41	4	9
Expulsions without educational services on males	181	83.8	7	3.2	DS	0.9	52	24.1	20	9.3	89	41.2	DS	0.9	9	4.2	12	5.6	"1,312"	41	4	9
Expulsions without educational services on females	35	16.2	4	1.9	0	0	6	2.8	5	2.3	18	8.3	0	0	DS	0.9	0	0	"1,312"	41	4	9
Expulsions without educational services total	216	100	11	5.1	DS	0.9	58	26.9	25	11.6	107	49.5	DS	0.9	11	5.1	12	5.6	"1,312"	41	4	9
Expulsions with or without educational services on males	"1,193"	75.2	42	2.6	8	0.5	317	20	61	3.8	702	44.3	10	0.6	53	3.3	78	4.9	"1,312"	41	4	9
Expulsions with or without educational services on females	393	24.8	30	1.9	DS	0.1	98	6.2	15	0.9	224	14.1	DS	0.1	22	1.4	21	1.3	"1,312"	41	4	9
Expulsions with or without educational services total	"1,586"	100	72	4.5	10	0.6	415	26.2	76	4.8	926	58.4	12	0.8	75	4.7	99	6.2	"1,312"	41	4	9
Expulsions under zero-tolerance policies on males	221	73.9	15	5	0	0	47	15.7	DS	0.7	150	50.2	0	0	7	2.3	9	3	"1,312"	41	4	9
Expulsions under zero-tolerance policies on females	78	26.1	8	2.7	DS	0.7	16	5.4	DS	0.7	45	15.1	0	0	5	1.7	0	0	"1,312"	41	4	9
Expulsions under zero-tolerance policies total	299	100	23	7.7	DS	0.7	63	21.1	4	1.3	195	65.2	0	0	12	4	9	3	"1,312"	41	4	9
Referral to law enforcement on males	633	67.6	12	1.3	DS	0.2	141	15	6	0.6	442	47.2	5	0.5	25	2.7	29	3.1	"1,312"	41	4	9
Referral to law enforcement on females	304	32.4	7	0.7	DS	0.2	63	6.7	DS	0.2	218	23.3	DS	0.2	10	1.1	7	0.7	"1,312"	41	4	9
Referral to law enforcement total	937	100	19	2	4	0.4	204	21.8	8	0.9	660	70.4	7	0.7	35	3.7	36	3.8	"1,312"	41	4	9
School-related arrests on males	158	77.1	DS	1	0	0	45	22	DS	1	105	51.2	DS	1	DS	1	5	2.4	"1,312"	41	4	9
School-related arrests on females	47	22.9	4	2	0	0	8	3.9	0	0	33	16.1	0	0	DS	1	0	0	"1,312"	41	4	9
School-related arrests total	205	100	6	2.9	0	0	53	25.9	DS	1	138	67.3	DS	1	4	2	5	2.4	"1,312"	41	4	9
