State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Maryland		24	3	5	27	0	0	DS	7.4	DS	7.4	15	55.6	6	22.2	0	0	DS	7.4	DS	7.4	"1,444"
Massachusetts		25	1	1	13	0	0	0	0	DS	15.4	DS	15.4	9	69.2	0	0	0	0	0	0	"1,834"
Michigan		26	2	3	257	DS	0.8	DS	0.8	15	5.8	49	19.1	187	72.8	0	0	DS	0.8	DS	0.8	"3,626"
Minnesota		27	2	4	144	DS	1.4	DS	1.4	4	2.8	57	39.6	71	49.3	0	0	8	5.6	DS	1.4	"2,077"
Mississippi		28	3	6	9	0	0	0	0	0	0	4	44.4	5	55.6	0	0	0	0	0	0	973
Missouri		29	2	4	39	DS	5.1	0	0	0	0	13	33.3	24	61.5	0	0	0	0	0	0	"2,312"
Montana		30	4	8	11	0	0	0	0	DS	18.2	0	0	9	81.8	0	0	0	0	0	0	781
Nebraska		31	2	4	50	0	0	0	0	5	10	11	22	28	56	0	0	6	12	0	0	"1,073"
Nevada		32	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	649
New Hampshire		33	1	1	30	0	0	0	0	DS	6.7	DS	6.7	26	86.7	0	0	0	0	0	0	478
New Jersey		34	1	2	35	0	0	0	0	4	11.4	15	42.9	16	45.7	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	7	0	0	0	0	5	71.4	0	0	DS	28.6	0	0	0	0	DS	28.6	853
New York		36	1	2	58	0	0	0	0	9	15.5	12	20.7	35	60.3	DS	3.4	0	0	0	0	"4,864"
North Carolina		37	3	5	34	0	0	0	0	DS	5.9	20	58.8	10	29.4	0	0	DS	5.9	DS	5.9	"2,535"
North Dakota		38	2	4	4	0	0	0	0	0	0	DS	50	DS	50	0	0	0	0	0	0	468
Ohio		39	2	3	96	0	0	DS	2.1	DS	2.1	22	22.9	66	68.8	0	0	4	4.2	DS	2.1	"3,702"
Oklahoma		40	3	7	33	5	15.2	0	0	5	15.2	DS	6.1	15	45.5	0	0	6	18.2	DS	6.1	"1,774"
Oregon		41	9	4	52	0	0	DS	3.8	6	11.5	DS	3.8	40	76.9	0	0	DS	3.8	DS	3.8	"1,312"
Pennsylvania		42	1	2	48	DS	4.2	0	0	4	8.3	14	29.2	26	54.2	0	0	DS	4.2	0	0	"3,220"
Rhode Island		44	1	1	4	0	0	0	0	DS	50	0	0	DS	50	0	0	0	0	0	0	291
South Carolina		45	3	5	33	0	0	0	0	0	0	13	39.4	16	48.5	DS	6.1	DS	6.1	0	0	"1,219"
South Dakota		46	2	4	10	DS	20	0	0	0	0	0	0	8	80	0	0	0	0	0	0	668
Tennessee		47	3	6	56	0	0	0	0	DS	3.6	17	30.4	35	62.5	0	0	DS	3.6	0	0	"1,802"
Texas		48	3	7	141	0	0	0	0	42	29.8	30	21.3	63	44.7	0	0	6	4.3	DS	1.4	"8,472"
Utah		49	4	8	115	DS	1.7	0	0	27	23.5	DS	1.7	82	71.3	0	0	DS	1.7	16	13.9	981
Vermont		50	1	1	15	0	0	0	0	0	0	0	0	13	86.7	0	0	DS	13.3	0	0	295
Virginia		51	3	5	69	0	0	0	0	DS	2.9	47	68.1	16	23.2	0	0	4	5.8	0	0	"1,984"
Washington		53	4	9	103	4	3.9	DS	1.9	9	8.7	5	4.9	75	72.8	DS	1.9	6	5.8	4	3.9	"2,256"
West Virginia		54	3	5	18	0	0	0	0	0	0	DS	11.1	16	88.9	0	0	0	0	0	0	733
Wisconsin		55	2	3	217	7	3.2	0	0	6	2.8	37	17.1	162	74.7	0	0	5	2.3	DS	0.9	"2,242"
Wyoming		56	4	8	36	DS	5.6	0	0	4	11.1	0	0	28	77.8	0	0	DS	5.6	0	0	349
