,2000,2000,,2012,2012,,
Pocahontas,"1,660",0,0,"1,185 0",0,0.00%,
Polk,"75,462",15,20,"88,695 9",10,-49.00%,
Pottawattamie,"17,497",*,NA,"17,332 *",NA,NA,
Poweshiek,"3,279",0,0,"2,972 0",0,0.00%,
Ringgold,957,*,NA,963 0,0,NA,
Sac,"2,099",*,NA,"1,719 0",0,NA,
Scott,"32,491",9,28,"32,106 5",16,-43.80%,
Shelby,"2,625",0,0,"2,102 0",0,0.00%,
Sioux,"6,499",*,NA,"7,290 0",0,NA,
Story,"11,613",0,0,"12,371 4",32,NA,
Tama,"3,636",*,NA,"3,317 *",NA,NA,
Taylor,"1,265",0,0,"1,108 0",0,0.00%,
Union,"2,191",*,NA,"2,336 0",0,NA,
Van Buren,"1,507",*,NA,"1,327 0",0,NA,
Wapello,"6,515",0,0,"6,254 *",NA,NA,
Warren,"8,501",0,0,"9,224 *",NA,NA,
Washington,"4,163",0,0,"4,156 *",NA,NA,
Wayne,"1,216",*,NA,"1,161 0",0,NA,
Webster,"7,554",*,NA,"6,184 4",65,NA,
Winnebago,"2,149",*,NA,"1,726 0",0,NA,
Winneshiek,"3,714",*,NA,"3,172 *",NA,NA,
Woodbury,"22,203",*,NA,"21,086 0",0,NA,
Worth,"1,446",0,0,"1,225 *",NA,NA,
Wright,"2,674",0,0.0% 0,"2,382 0",0,,
State,"564,225",121,-20.4% 21,"562,690 96",17,,
Rural,"92,420",26,28,"81,519 16",20,-30.20%,
Small Urban,"217,120",42,19,"209,072 37",18,-8.50%,
Metropolitan,"254,685",53,-24.1% 21,"272,099 43",16,,
United States,"56,447,727","12,350",22,"57,221,248 9,613",17,-23.20%,
