Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Native Hawaiian or other Pacific Islander Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and Those With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"7,995"	29.5	341	1.3	"7,654"	28.2	50	0.2	12	0	111	0.4	"6,111"	23.9	"1,328"	5.2	DS	0	40	0.2	32	0.1	"1,394"	22	3	7
More than one out-of-school suspension total	"27,123"	100	"1,535"	5.7	"25,588"	94.3	160	0.6	61	0.2	444	1.7	"18,573"	72.6	"6,172"	24.1	6	0	172	0.7	184	0.7	"1,394"	22	3	7
One or more out-of-school suspensions on males	"44,085"	67.2	"2,491"	3.8	"41,594"	63.4	313	0.5	168	0.3	"1,006"	1.6	"26,377"	42.4	"13,371"	21.5	11	0	348	0.6	438	0.7	"1,394"	22	3	7
One or more out-of-school suspensions on females	"21,510"	32.8	835	1.3	"20,675"	31.5	144	0.2	47	0.1	382	0.6	"15,312"	24.6	"4,654"	7.5	4	0	132	0.2	122	0.2	"1,394"	22	3	7
One or more out-of-school suspensions total	"65,595"	100	"3,326"	5.1	"62,269"	94.9	457	0.7	215	0.3	"1,388"	2.2	"41,689"	66.9	"18,025"	28.9	15	0	480	0.8	560	0.9	"1,394"	22	3	7
Expulsions with educational services on males	"3,481"	73.5	222	4.7	"3,259"	68.8	41	0.9	8	0.2	53	1.2	"2,241"	50.3	903	20.3	0	0	13	0.3	14	0.3	"1,394"	22	3	7
Expulsions with educational services on females	"1,255"	26.5	57	1.2	"1,198"	25.3	12	0.3	DS	0	8	0.2	934	21	235	5.3	0	0	7	0.2	DS	0	"1,394"	22	3	7
Expulsions with educational services total	"4,736"	100	279	5.9	"4,457"	94.1	53	1.2	10	0.2	61	1.4	"3,175"	71.2	"1,138"	25.5	0	0	20	0.4	16	0.3	"1,394"	22	3	7
Expulsions without educational services on males	728	71	13	1.3	715	69.7	DS	0.2	DS	0.2	28	2.8	503	49.8	178	17.6	0	0	DS	0.2	15	1.5	"1,394"	22	3	7
Expulsions without educational services on females	298	29	DS	0.2	296	28.8	0	0	0	0	5	0.5	229	22.7	60	5.9	0	0	DS	0.2	0	0	"1,394"	22	3	7
Expulsions without educational services total	"1,026"	100	15	1.5	"1,011"	98.5	DS	0.2	DS	0.2	33	3.3	732	72.4	238	23.5	0	0	4	0.4	15	1.5	"1,394"	22	3	7
Expulsions with or without educational services on males	"4,202"	73.1	238	4.1	"3,964"	68.9	43	0.8	10	0.2	79	1.4	"2,738"	50.2	"1,078"	19.8	0	0	16	0.3	28	0.5	"1,394"	22	3	7
Expulsions with or without educational services on females	"1,550"	26.9	61	1.1	"1,489"	25.9	12	0.2	DS	0	13	0.2	"1,159"	21.3	294	5.4	0	0	9	0.2	DS	0	"1,394"	22	3	7
Expulsions with or without educational services total	"5,752"	100	299	5.2	"5,453"	94.8	55	1	12	0.2	92	1.7	"3,897"	71.5	"1,372"	25.2	0	0	25	0.5	30	0.5	"1,394"	22	3	7
Expulsions under zero-tolerance policies on males	249	72.6	9	2.6	240	70	4	1.2	0	0	7	2.1	133	40.1	94	28.3	0	0	DS	0.6	DS	0.6	"1,394"	22	3	7
Expulsions under zero-tolerance policies on females	94	27.4	DS	0.6	92	26.8	0	0	0	0	DS	0.6	47	14.2	43	13	0	0	0	0	0	0	"1,394"	22	3	7
Expulsions under zero-tolerance policies total	343	100	11	3.2	332	96.8	4	1.2	0	0	9	2.7	180	54.2	137	41.3	0	0	DS	0.6	DS	0.6	"1,394"	22	3	7
Referral to law enforcement on males	"2,019"	67.3	76	2.5	"1,943"	64.8	24	0.8	17	0.6	92	3.2	"1,260"	43.6	537	18.6	DS	0.1	11	0.4	55	1.8	"1,394"	22	3	7
Referral to law enforcement on females	979	32.7	30	1	949	31.7	12	0.4	DS	0.1	49	1.7	690	23.9	187	6.5	0	0	9	0.3	22	0.7	"1,394"	22	3	7
Referral to law enforcement total	"2,998"	100	106	3.5	"2,892"	96.5	36	1.2	19	0.7	141	4.9	"1,950"	67.4	724	25	DS	0.1	20	0.7	77	2.6	"1,394"	22	3	7
School-related arrests on males	988	68.1	8	0.6	980	67.6	4	0.3	10	0.7	62	4.3	616	42.9	277	19.3	0	0	11	0.8	4	0.3	"1,394"	22	3	7
School-related arrests on females	462	31.9	6	0.4	456	31.4	6	0.4	DS	0.1	29	2	310	21.6	104	7.2	0	0	5	0.3	DS	0.1	"1,394"	22	3	7
School-related arrests total	"1,450"	100	14	1	"1,436"	99	10	0.7	12	0.8	91	6.3	926	64.5	381	26.5	0	0	16	1.1	6	0.4	"1,394"	22	3	7
