County,2000 Live Births,2000 Low Birthweight,2000 Percentage,2008 Live Births,2008 Low Birthweight,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Ida,70,6,8.60%,83,C,N/A,N/A,19_047,19,2,4,,
Iowa,183,11,6.00%,203,15,7.40%,22.90%,19_048,19,2,4,,
Jackson,239,20,8.40%,191,12,6.30%,-24.90%,19_049,19,2,4,,
Jasper,458,27,5.90%,441,33,7.50%,26.90%,19_050,19,2,4,,
Jefferson,145,12,8.30%,157,7,4.50%,-46.10%,19_051,19,2,4,,
Johnson,"1,382",74,5.40%,"1,719",110,6.40%,19.50%,19_052,19,2,4,,
Jones,227,15,6.60%,238,10,4.20%,-36.40%,19_053,19,2,4,,
Keokuk,154,10,6.50%,120,9,7.50%,15.50%,19_054,19,2,4,,
Kossuth,166,9,5.40%,154,8,5.20%,-4.20%,19_055,19,2,4,,
Lee,410,34,8.30%,376,33,8.80%,5.80%,19_056,19,2,4,,
Linn,"2,715",150,5.50%,"2,847",153,5.40%,-2.70%,19_057,19,2,4,,
Louisa,164,16,9.80%,132,8,6.10%,-37.90%,19_058,19,2,4,,
Lucas,119,6,5.00%,106,7,6.60%,31.00%,19_059,19,2,4,,
Lyon,159,3,1.90%,170,11,6.50%,242.90%,19_119,19,2,4,,
Madison,196,15,7.70%,218,17,7.80%,1.90%,19_121,19,2,4,,
Mahaska,283,22,7.80%,280,14,5.00%,-35.70%,19_123,19,2,4,,
Marion,383,26,6.80%,401,28,7.00%,2.90%,19_125,19,2,4,,
Marshall,556,32,5.80%,626,49,7.80%,36.00%,19_127,19,2,4,,
Mills,155,5,3.20%,182,15,8.20%,155.50%,19_129,19,2,4,,
Mitchell,131,4,3.10%,129,C,N/A,N/A,19_131,19,2,4,,
Monona,98,7,7.10%,96,4,4.20%,-41.70%,19_133,19,2,4,,
Monroe,102,1,1.00%,101,7,6.90%,606.90%,19_135,19,2,4,,
Montgomery,139,7,5.00%,121,7,5.80%,14.90%,19_137,19,2,4,,
Muscatine,638,27,4.20%,644,47,7.30%,72.50%,19_139,19,2,4,,
O'Brien,187,7,3.70%,173,10,5.80%,54.40%,19_141,19,2,4,,
Osceola,73,5,6.80%,76,4,5.30%,-23.20%,19_143,19,2,4,,
Page,169,9,5.30%,170,10,5.90%,10.50%,19_145,19,2,4,,
Palo Alto,110,3,2.70%,121,6,5.00%,81.80%,19_147,19,2,4,,
Plymouth,309,14,4.50%,318,26,8.20%,80.50%,19_149,19,2,4,,
Pocahontas,73,3,4.10%,88,5,5.70%,38.30%,19_151,19,2,4,,
Polk,"6,216",387,6.20%,"6,723",461,6.90%,10.10%,19_153,19,2,4,,
Pottawattamie,"1,184",76,6.40%,"1,243",93,7.50%,16.60%,19_155,19,2,4,,
Poweshiek,212,13,6.10%,184,14,7.60%,24.10%,19_157,19,2,4,,
Ringgold,69,4,5.80%,63,0,0.00%,-100.00%,19_159,19,2,4,,
Sac,135,12,8.90%,105,C,N/A,N/A,19_161,19,2,4,,
Scott,"2,348",166,7.10%,"2,229",168,7.50%,6.60%,19_163,19,2,4,,
Shelby,150,12,8.00%,117,5,4.30%,-46.60%,19_165,19,2,4,,
Sioux,457,16,3.50%,526,30,5.70%,62.90%,19_167,19,2,4,,
Story,940,47,5.00%,"1,002",51,5.10%,1.80%,19_169,19,2,4,,
Tama,251,19,7.60%,234,20,8.50%,12.90%,19_171,19,2,4,,
Taylor,87,13,14.90%,75,6,8.00%,-46.50%,19_173,19,2,4,,
Union,127,7,5.50%,162,21,13.00%,135.20%,19_175,19,2,4,,
Van Buren,97,2,2.10%,91,C,N/A,N/A,19_177,19,2,4,,
Wapello,424,36,8.50%,475,33,6.90%,-18.20%,19_179,19,2,4,,
Warren,513,28,5.50%,544,42,7.70%,41.50%,19_181,19,2,4,,
Washington,290,16,5.50%,295,7,2.40%,-57.00%,19_183,19,2,4,,
Wayne,79,4,5.10%,80,5,6.30%,23.40%,19_185,19,2,4,,
Webster,492,30,6.10%,491,33,6.70%,10.20%,19_187,19,2,4,,
Winnebago,134,9,6.70%,137,14,10.20%,52.10%,19_189,19,2,4,,
Winneshiek,191,12,6.30%,193,6,3.10%,-50.50%,19_191,19,2,4,,
Woodbury,"1,692",128,7.60%,"1,672",126,7.50%,-0.40%,19_193,19,2,4,,
Worth,84,11,13.10%,91,8,8.80%,-32.90%,19_195,19,2,4,,
Wright,168,14,8.30%,173,14,8.10%,-2.90%,19_197,19,2,4,,
State,"38,250","2,346",6.10%,"40,221","2,683",6.70%,8.80%,,19,2,4,,
Rural,"5,650",353,6.20%,"5,794",351,6.10%,-3.00%,,,,,,IA_Rural_Counties
Small Urban,"13,351",807,6.00%,"13,994",935,6.70%,10.50%,,,,,,IA_Urban_Counties
Metropolitan,"19,249","1,186",6.20%,"20,433","1,397",6.80%,11.00%,,,,,,IA_Metropolitan_Counties
United States,"4,055,507","308,219",7.60%,"4,317,119","354,004",8.20%,7.90%,,,,,US_National,
