County,2003 4th Gr. Reading Proficiency ,2007 4th Gr. Reading Proficiency,2003-2007 4th Gr. Change,2003 8th Gr. Reading Proficiency,2007 8th Gr. Reading Proficiency,2003-2007 8th Gr. Change,2003 11th Gr. Reading Proficiency,2007 11th Gr. Reading Proficiency,2003-2007 11th Gr. Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Carroll,76.30%,82.40%,8.00%,69.50%,78.50%,12.90%,75.50%,80.80%,7.00%,19_014,19,2,4,,
Cass,75.90%,77.60%,2.20%,71.50%,70.10%,-2.00%,80.40%,83.30%,3.60%,19_015,19,2,4,,
Cedar,82.30%,81.40%,-1.10%,74.50%,77.50%,4.00%,70.40%,81.40%,15.60%,19_016,19,2,4,,
Cerro Gordo,74.00%,77.70%,5.00%,70.10%,70.50%,0.60%,77.80%,77.10%,-0.90%,19_017,19,2,4,,
Cherokee,79.90%,82.70%,3.50%,73.40%,79.40%,8.20%,80.60%,81.30%,0.90%,19_018,19,2,4,,
Chickasaw,77.30%,83.70%,8.30%,76.80%,76.50%,-0.40%,75.00%,79.80%,6.40%,19_019,19,2,4,,
Clarke,74.20%,79.30%,6.90%,57.90%,77.20%,33.30%,70.90%,76.10%,7.30%,19_020,19,2,4,,
Clay,77.30%,80.90%,4.70%,72.90%,73.90%,1.40%,81.70%,77.80%,-4.80%,19_021,19,2,4,,
Clayton,71.40%,73.40%,2.80%,65.80%,72.50%,10.20%,78.20%,75.90%,-2.90%,19_022,19,2,4,,
Clinton,77.50%,80.10%,3.40%,69.20%,73.20%,5.80%,74.40%,75.50%,1.50%,19_023,19,2,4,,
Crawford,83.10%,72.30%,-13.00%,63.10%,65.50%,3.80%,76.90%,74.00%,-3.80%,19_024,19,2,4,,
Dallas,79.80%,88.10%,10.40%,77.90%,79.90%,2.60%,81.20%,80.50%,-0.90%,19_025,19,2,4,,
Davis,72.70%,70.40%,-3.20%,66.50%,81.40%,22.40%,57.40%,78.60%,36.90%,19_026,19,2,4,,
Decatur,69.50%,71.90%,3.50%,67.90%,55.00%,-19.00%,75.80%,70.80%,-6.60%,19_027,19,2,4,,
Delaware,81.40%,81.60%,0.20%,76.90%,77.30%,0.50%,79.40%,76.10%,-4.20%,19_028,19,2,4,,
Des Moines,71.00%,77.30%,8.90%,65.50%,72.20%,10.20%,74.00%,75.30%,1.80%,19_029,19,2,4,,
Dickinson,85.00%,85.20%,0.20%,75.80%,80.00%,5.50%,78.30%,84.40%,7.80%,19_030,19,2,4,,
Dubuque,69.30%,76.90%,11.00%,65.80%,70.70%,7.40%,75.70%,77.90%,2.90%,19_031,19,2,4,,
Emmet,77.20%,77.50%,0.40%,68.40%,66.90%,-2.20%,69.90%,70.30%,0.60%,19_032,19,2,4,,
Fayette,73.80%,84.00%,13.80%,68.80%,71.80%,4.40%,72.60%,79.70%,9.80%,19_033,19,2,4,,
Floyd,76.60%,80.60%,5.20%,69.10%,73.40%,6.20%,74.00%,72.80%,-1.60%,19_034,19,2,4,,
Franklin,69.60%,80.90%,16.20%,64.00%,69.30%,8.30%,77.00%,73.00%,-5.20%,19_035,19,2,4,,
Fremont,71.20%,71.40%,0.30%,67.00%,67.30%,0.40%,79.20%,73.70%,-6.90%,19_036,19,2,4,,
Greene,76.00%,80.40%,5.80%,73.00%,73.30%,0.40%,76.60%,72.70%,-5.10%,19_037,19,2,4,,
Grundy,84.90%,81.30%,-4.20%,73.20%,81.50%,11.30%,80.40%,75.40%,-6.20%,19_038,19,2,4,,
Guthrie,81.70%,81.30%,-0.50%,66.20%,79.70%,20.40%,77.80%,81.00%,4.10%,19_039,19,2,4,,
Hamilton,82.20%,86.40%,5.10%,69.10%,73.90%,6.90%,72.50%,78.30%,8.00%,19_040,19,2,4,,
Hancock,78.30%,77.60%,-0.90%,72.80%,75.00%,3.00%,82.20%,80.80%,-1.70%,19_041,19,2,4,,
Hardin,74.50%,77.30%,3.80%,70.30%,72.60%,3.30%,73.30%,77.40%,5.60%,19_042,19,2,4,,
Harrison,74.20%,78.50%,5.80%,62.70%,74.10%,18.20%,78.90%,74.70%,-5.30%,19_043,19,2,4,,
Henry,77.10%,80.40%,4.30%,70.40%,65.40%,-7.10%,74.60%,72.20%,-3.20%,19_044,19,2,4,,
Howard,77.90%,77.70%,-0.30%,70.30%,73.50%,4.60%,70.10%,79.70%,13.70%,19_045,19,2,4,,
Humboldt,83.70%,79.50%,-5.00%,78.00%,72.40%,-7.20%,79.20%,84.40%,6.60%,19_046,19,2,4,,
Ida,79.70%,85.30%,7.00%,73.10%,83.40%,14.10%,78.60%,79.20%,0.80%,19_047,19,2,4,,
Iowa,75.20%,83.10%,10.50%,63.90%,70.60%,10.50%,77.10%,81.10%,5.20%,19_048,19,2,4,,
Jackson,78.00%,83.20%,6.70%,67.80%,72.60%,7.10%,69.50%,76.90%,10.60%,19_049,19,2,4,,
Jasper,77.30%,78.70%,1.80%,68.90%,70.50%,2.30%,77.50%,77.40%,-0.10%,19_050,19,2,4,,
Jefferson,83.00%,83.10%,0.10%,73.40%,74.90%,2.00%,83.60%,79.90%,-4.40%,19_051,19,2,4,,
Johnson,80.10%,79.20%,-1.10%,75.80%,76.30%,0.70%,86.70%,85.00%,-2.00%,19_052,19,2,4,,
Jones,78.70%,84.00%,6.70%,71.90%,69.60%,-3.20%,70.90%,80.20%,13.10%,19_053,19,2,4,,
Keokuk,74.30%,81.40%,9.60%,65.10%,70.70%,8.60%,61.10%,66.20%,8.30%,19_054,19,2,4,,
Kossuth,81.30%,85.10%,4.70%,74.10%,81.30%,9.70%,78.30%,80.40%,2.70%,19_055,19,2,4,,
Lee,69.40%,78.80%,13.50%,63.00%,71.10%,12.90%,74.90%,69.40%,-7.30%,19_056,19,2,4,,
Linn,75.40%,81.00%,7.40%,73.70%,75.60%,2.60%,81.50%,82.60%,1.30%,19_057,19,2,4,,
Louisa,71.50%,73.20%,2.40%,57.90%,63.70%,10.00%,66.20%,72.70%,9.80%,19_058,19,2,4,,
Lucas,73.70%,80.50%,9.20%,54.50%,72.90%,33.80%,68.40%,69.70%,1.90%,19_059,19,2,4,,
Lyon,88.80%,85.70%,-3.50%,76.20%,77.30%,1.40%,84.00%,81.70%,-2.70%,19_119,19,2,4,,
Madison,77.80%,77.90%,0.10%,73.00%,79.40%,8.80%,75.90%,73.60%,-3.00%,19_121,19,2,4,,
Mahaska,79.80%,79.60%,-0.30%,67.20%,71.60%,6.50%,72.80%,76.80%,5.50%,19_123,19,2,4,,
Marion,77.80%,84.40%,8.50%,68.50%,74.20%,8.30%,77.80%,79.40%,2.10%,19_125,19,2,4,,
Marshall,69.80%,72.70%,4.20%,64.00%,65.60%,2.50%,72.90%,68.90%,-5.50%,19_127,19,2,4,,
Mills,72.10%,86.30%,19.70%,71.40%,74.20%,3.90%,79.60%,79.60%,0.00%,19_129,19,2,4,,
Mitchell,80.20%,82.50%,2.90%,78.70%,73.20%,-7.00%,82.00%,78.70%,-4.00%,19_131,19,2,4,,
Monona,79.70%,77.70%,-2.50%,75.10%,73.60%,-2.00%,79.30%,77.40%,-2.40%,19_133,19,2,4,,
Monroe,69.20%,76.50%,10.50%,65.60%,67.40%,2.70%,78.50%,72.50%,-7.60%,19_135,19,2,4,,
Montgomery,73.00%,73.20%,0.30%,68.50%,69.50%,1.50%,80.20%,78.20%,-2.50%,19_137,19,2,4,,
Muscatine,75.20%,84.10%,11.80%,70.60%,75.40%,6.80%,68.30%,77.00%,12.70%,19_139,19,2,4,,
O'Brien,83.70%,85.00%,1.60%,76.90%,76.10%,-1.00%,82.00%,79.80%,-2.70%,19_141,19,2,4,,
Osceola,80.40%,89.00%,10.70%,72.00%,85.10%,18.20%,80.10%,77.20%,-3.60%,19_143,19,2,4,,
Page,74.80%,79.00%,5.60%,63.00%,72.30%,14.80%,79.50%,76.90%,-3.30%,19_145,19,2,4,,
Palo Alto,78.80%,83.50%,6.00%,67.60%,73.70%,9.00%,79.80%,78.70%,-1.40%,19_147,19,2,4,,
Plymouth,78.60%,82.80%,5.30%,72.20%,77.00%,6.60%,80.60%,80.90%,0.40%,19_149,19,2,4,,
Pocahontas,78.90%,78.80%,-0.10%,75.20%,71.70%,-4.70%,77.10%,77.40%,0.40%,19_151,19,2,4,,
Polk,75.40%,76.50%,1.50%,68.00%,70.30%,3.40%,78.70%,73.80%,-6.20%,19_153,19,2,4,,
Pottawattamie,66.80%,71.40%,6.90%,64.10%,66.90%,4.40%,75.80%,71.90%,-5.10%,19_155,19,2,4,,
Poweshiek,80.50%,85.60%,6.30%,70.70%,74.30%,5.10%,78.60%,83.90%,6.70%,19_157,19,2,4,,
Ringgold,83.50%,88.60%,6.10%,68.00%,71.80%,5.60%,75.20%,81.70%,8.60%,19_159,19,2,4,,
Sac,84.40%,73.60%,-12.80%,74.00%,75.90%,2.60%,77.80%,79.10%,1.70%,19_161,19,2,4,,
Scott,70.30%,76.60%,9.00%,64.50%,68.50%,6.20%,74.80%,75.90%,1.50%,19_163,19,2,4,,
Shelby,82.70%,87.70%,6.00%,77.90%,80.60%,3.50%,83.30%,83.00%,-0.40%,19_165,19,2,4,,
Sioux,85.60%,85.90%,0.40%,76.20%,79.30%,4.10%,79.20%,80.50%,1.60%,19_167,19,2,4,,
Story,84.10%,87.40%,3.90%,77.80%,81.20%,4.40%,82.20%,83.20%,1.20%,19_169,19,2,4,,
Tama,72.00%,75.60%,5.00%,68.00%,77.10%,13.40%,75.00%,75.30%,0.40%,19_171,19,2,4,,
Taylor,79.50%,80.30%,1.00%,62.40%,77.60%,24.40%,71.90%,79.60%,10.70%,19_173,19,2,4,,
Union,75.30%,76.50%,1.60%,73.20%,68.40%,-6.60%,77.40%,79.70%,3.00%,19_175,19,2,4,,
Van Buren,76.60%,84.40%,10.20%,62.60%,65.60%,4.80%,80.10%,68.70%,-14.20%,19_177,19,2,4,,
Wapello,68.70%,72.80%,6.00%,60.10%,71.90%,19.60%,63.70%,68.30%,7.20%,19_179,19,2,4,,
Warren,80.30%,84.70%,5.50%,73.80%,77.40%,4.90%,79.50%,81.60%,2.60%,19_181,19,2,4,,
Washington,73.10%,71.40%,-2.30%,71.60%,64.60%,-9.80%,77.90%,79.10%,1.50%,19_183,19,2,4,,
Wayne,80.80%,73.20%,-9.40%,68.00%,74.10%,9.00%,70.30%,70.10%,-0.30%,19_185,19,2,4,,
Webster,71.90%,73.30%,1.90%,66.90%,65.30%,-2.40%,67.40%,77.50%,15.00%,19_187,19,2,4,,
Winnebago,84.90%,82.50%,-2.80%,69.90%,70.90%,1.40%,79.10%,71.90%,-9.10%,19_189,19,2,4,,
Winneshiek,79.80%,86.90%,8.90%,79.40%,78.70%,-0.90%,77.80%,84.30%,8.40%,19_191,19,2,4,,
Woodbury,70.40%,73.80%,4.80%,60.70%,65.40%,7.70%,72.30%,70.30%,-2.80%,19_193,19,2,4,,
Worth,66.30%,81.80%,23.40%,64.20%,66.50%,3.60%,78.40%,77.20%,-1.50%,19_195,19,2,4,,
Wright,79.50%,79.10%,-0.50%,71.60%,70.50%,-1.50%,73.60%,74.10%,0.70%,19_197,19,2,4,,
State,75.90%,78.80%,3.80%,69.30%,72.10%,4.00%,77.00%,77.10%,0.10%,,19,2,4,,
Rural,77.70%,79.50%,2.40%,69.70%,74.00%,6.20%,75.70%,77.10%,1.90%,,,,,,IA_Rural_Counties
Small Urban,76.90%,80.40%,4.50%,69.90%,72.80%,4.10%,75.80%,77.70%,2.60%,,,,,,IA_Urban_Counties
Metropolitan,73.50%,77.30%,5.20%,67.90%,71.00%,4.60%,77.80%,77.40%,-0.50%,,,,,,IA_Metropolitan_Counties
United States*,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,,,,,US_National,
