Harrison,"15,666",181,1.20%,"14,548",123,0.80%,-26.80%
Henry,"20,336",219,1.10%,"20,236",231,1.10%,6.00%
Howard,"9,932",101,1.00%,"9,563",95,1.00%,-2.30%
Humboldt,"10,381",123,1.20%,"9,729",76,0.80%,-34.10%
Ida,"7,837",65,0.80%,"7,108",34,0.50%,-42.30%
Iowa,"15,671",108,0.70%,"16,189",85,0.50%,-23.80%
Jackson,"20,296",274,1.40%,"19,712",287,1.50%,7.80%
Jasper,"37,213",459,1.20%,"36,602",513,1.40%,13.60%
Jefferson,"16,181",287,1.80%,"16,867",228,1.40%,-23.80%
Johnson,"111,006","1,057",1.00%,"136,317","1,401",1.00%,7.90%
Jones,"20,221",225,1.10%,"20,639",156,0.80%,-32.10%
Keokuk,"11,400",198,1.70%,"10,374",140,1.30%,-22.30%
,Total Family,,Total,Family,2000-2012,,
County,Population Investment,Percentage,Population,Change Investment Percentage,,,
Kossuth,"17,163 145",0.80%,"15,346",114 0.7%,-12.10%,,
Lee,"38,052 1,164",3.10%,"35,617",626 1.8%,-42.50%,,
Linn,"191,701 3,162",1.60%,"215,295","2,504 1.2%",-29.50%,,
Louisa,"12,183 277",2.30%,"11,278",124 1.1%,-51.60%,,
Lucas,"9,422 219",2.30%,"8,760",137 1.6%,-32.70%,,
Lyon,"11,763 91",0.80%,"11,757",54 0.5%,-40.60%,,
Madison,"14,019 98",0.70%,"15,654",108 0.7%,-1.30%,,
Mahaska,"22,335 435",1.90%,"22,443",416 1.9%,-4.80%,,
Marion,"32,052 332",1.00%,"33,419",340 1.0%,-1.80%,,
Marshall,"39,311 899",2.30%,"40,857",655 1.6%,-29.90%,,
Mills,"14,547 270",1.90%,"14,837",128 0.9%,-53.50%,,
Mitchell,"10,874 52",0.50%,"10,725",42 0.4%,-18.10%,,
Monona,"10,020 96",1.00%,"9,124",50 0.5%,-42.80%,,
Monroe,"8,016 141",1.80%,"8,063",109 1.4%,-23.10%,,
Montgomery,"11,771 238",2.00%,"10,566",217 2.1%,1.60%,,
Muscatine,"41,722 1,104",2.60%,"42,879",738 1.7%,-35.00%,,
O'Brien,"15,102 110",0.70%,"14,172",120 0.8%,16.20%,,
Osceola,"7,003 46",0.70%,"6,193",42 0.7%,3.20%,,
Page,"16,976 432",2.50%,"15,713",168 1.1%,-58.00%,,
Palo Alto,"10,147 68",0.70%,"9,275",76 0.8%,22.30%,,
Plymouth,"24,849 186",0.70%,"24,907",106 0.4%,-43.10%,,
Pocahontas,"8,662 127",1.50%,"7,150",85 1.2%,-18.90%,,
Polk,"374,601 7,873",2.10%,"443,710","6,711 1.5%",-28.00%,,
Pottawattamie,"87,704 2,225",2.50%,"92,913","1,566 1.7%",-33.60%,,
Poweshiek,"18,815 192",1.00%,"18,736",202 1.1%,5.70%,,
Ringgold,"5,469 71",1.30%,"5,096",50 1.0%,-24.40%,,
Sac,"11,529 101",0.90%,"10,153",51 0.5%,-42.70%,,
Scott,"158,668 5,632",3.50%,"168,799","4,071 2.4%",-32.10%,,
Shelby,"13,173 122",0.90%,"12,069",69 0.6%,-38.30%,,
Sioux,"31,589 177",0.60%,"34,268",137 0.4%,-28.60%,,
Story,"79,981 597",0.70%,"91,140",545 0.6%,-19.90%,,
Tama,"18,103 211",1.20%,"17,536",169 1.0%,-17.30%,,
Taylor,"6,958 88",1.30%,"6,208",49 0.8%,-37.60%,,
Union,"12,309 176",1.40%,"12,594",146 1.2%,-18.90%,,
Van Buren,"7,809 131",1.70%,"7,449",90 1.2%,-28.00%,,
Wapello,"36,051 1,237",3.40%,"35,366","1,058 3.0%",-12.80%,,
Warren,"40,671 357",0.90%,"46,891",304 0.6%,-26.10%,,
Washington,"20,670 259",1.30%,"21,914",202 0.9%,-26.40%,,
Wayne,"6,730 164",2.40%,"6,344",81 1.3%,-47.60%,,
Webster,"40,235 1,053",2.60%,"37,273",689 1.8%,-29.40%,,
Winnebago,"11,723 88",0.80%,"10,600",57 0.5%,-28.40%,,
Winneshiek,"21,310 116",0.50%,"21,061",119 0.6%,3.80%,,
Woodbury,"103,877 2,318",2.20%,"102,323","1,470 1.4%",-35.60%,,
Worth,"7,909 28",0.40%,"7,519",39 0.5%,46.50%,,
Wright,"23.4% 14,334 144",1.00%,"12,991",161 1.2%,,,
State,"2,926,324 51,844",-27.1% 1.8%,"3,074,186","39,693 1.3%",,,
Rural,"482,942 5,276",1.10%,"457,362","3,962 0.9%",-20.70%,,
Small Urban,"1,118,689 18,176",1.60%,"1,139,410","13,616 1.2%",-26.50%,,
Metropolitan,"1,324,693 28,392",-30.2% 2.1%,"1,477,414","22,115 1.5%",,,
United States,"281,421,906 5,778,034",2.10%,"313,914,040","4,016,608 1.3%",-37.70%,,
