County,2003 4th Gr. Math Proficiency,2006 4th Gr. Math Proficiency,4th Gr. 2003-2006 Change,2003 8th Gr. Math Proficiency,2006 8th Gr. Math Proficiency,8th Gr. 2003-2006 Change,2003 11th Gr. Math Proficiency,2006 11th Gr. Math Proficiency,11th Gr. 2003-2006 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Van Buren,73.70%,84.80%,15.10%,62.60%,70.60%,12.80%,83.80%,79.20%,-5.50%,19_177,19,2,4,,
Wapello,71.40%,75.10%,5.20%,56.80%,71.60%,26.10%,68.80%,69.20%,0.60%,19_179,19,2,4,,
Warren,80.80%,84.10%,4.10%,77.40%,83.30%,7.60%,82.40%,80.00%,-2.90%,19_181,19,2,4,,
Washington,70.60%,74.30%,5.20%,77.20%,73.50%,-4.80%,78.70%,83.00%,5.50%,19_183,19,2,4,,
Wayne,76.70%,71.70%,-6.50%,68.60%,76.70%,11.80%,68.50%,69.40%,1.30%,19_185,19,2,4,,
Webster,71.90%,75.90%,5.60%,64.00%,68.60%,7.20%,66.20%,76.20%,15.10%,19_187,19,2,4,,
Winnebago,80.30%,84.50%,5.20%,72.20%,78.10%,8.20%,86.90%,75.80%,-12.80%,19_189,19,2,4,,
Winneshiek,81.60%,86.50%,6.00%,83.40%,83.80%,0.50%,85.80%,90.60%,5.60%,19_191,19,2,4,,
Woodbury,67.00%,72.40%,8.10%,65.30%,66.50%,1.80%,73.90%,70.00%,-5.30%,19_193,19,2,4,,
Worth,65.00%,86.70%,33.40%,76.70%,80.40%,4.80%,82.40%,84.00%,1.90%,19_195,19,2,4,,
Wright,77.10%,84.90%,10.10%,70.50%,73.00%,3.50%,73.30%,71.40%,-2.60%,19_197,19,2,4,,
State,75.00%,80.30%,7.10%,71.60%,74.80%,4.50%,79.20%,78.70%,-0.60%,,19,2,4,,
Rural,76.50%,82.50%,7.80%,73.10%,77.10%,5.50%,79.40%,79.60%,0.20%,,,,,,IA_Rural_Counties
Small Urban,77.00%,81.10%,5.40%,73.40%,75.90%,3.40%,78.80%,79.80%,1.30%,,,,,,IA_Urban_Counties
Metropolitan,71.80%,78.00%,8.60%,70.00%,73.30%,4.70%,78.50%,77.80%,-0.80%,,,,,,IA_Metropolitan_Counties
United States*,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,60.00%,60.00%,0.00%,,,,,US_National,
