Disciplinary Action,Number of Students With and Without Disabilities,Percent of Students With and Without Disabilities,Number of Students With Disabilities Served Only Under Section 504,Percent of Students With Disabilities Served Only Under Section 504,Number of Students Without Disabilities and With Disabilities Served Under IDEA,Percent of Students Without Disabilities and With Disabilities Served Under IDEA,"Number of American Indian or
Alaska Native","Percent of American Indian or
Alaska Native",Number of Asians,Percent of Asians,Number of Hispanic or Latino of any race,Percent of Hispanic or Latino of any race,Number of Black or African American,Percent of Black or African American,Number of Whites,Percent of Whites,Number of Native Hawaiian or Other Pacific Islander,Percent of Native Hawaiian or Other Pacific Islander,Number of Two or more races,Percent of Two or more races,Number of English Language Learners With and Without Disabilities,Percent of English Language Learners With and Without Disabilities,Number of Schools,State_ID,Region_ID,Division_ID
More than one out-of-school suspension for females,"2,450",21.1,91,0.8,"2,359",20.3,7,0.1,7,0.1,293,2.6,"1,321",11.7,645,5.7,0,0,86,0.8,48,0.4,"4,221",17,2,3
More than one out-of-school suspension total,"11,597",100,353,3,"11,244",97,29,0.3,43,0.4,"1,490",13.3,"5,206",46.3,"4,100",36.5,6,0.1,370,3.3,298,2.6,"4,221",17,2,3
One or more out-of-school suspensions for males,"21,803",77.3,601,2.1,"21,202",75.1,56,0.2,130,0.5,"3,545",12.9,"9,071",33.1,"7,782",28.4,17,0.1,601,2.2,975,3.5,"4,221",17,2,3
One or more out-of-school suspensions for females,"6,419",22.7,198,0.7,"6,221",22,24,0.1,19,0.1,961,3.5,"3,272",11.9,"1,751",6.4,DS,0,192,0.7,222,0.8,"4,221",17,2,3
One or more out-of-school suspensions total,"28,222",100,799,2.8,"27,423",97.2,80,0.3,149,0.5,"4,506",16.4,"12,343",45,"9,533",34.8,19,0.1,793,2.9,"1,197",4.2,"4,221",17,2,3
Expulsions with educational services for males,407,77.7,21,4,386,73.7,4,0.8,0,0,47,9.4,149,29.9,171,34.3,0,0,15,3,4,0.8,"4,221",17,2,3
Expulsions with educational services for females,117,22.3,4,0.8,113,21.6,DS,0.4,0,0,DS,0.4,31,6.2,70,14,0,0,8,1.6,0,0,"4,221",17,2,3
Expulsions with educational services total,524,100,25,4.8,499,95.2,6,1.2,0,0,49,9.8,180,36.1,241,48.3,0,0,23,4.6,4,0.8,"4,221",17,2,3
Expulsions without educational services for males,63,82.9,DS,2.6,61,80.3,DS,2.7,0,0,14,18.9,32,43.2,13,17.6,0,0,0,0,DS,2.6,"4,221",17,2,3
Expulsions without educational services for females,13,17.1,0,0,13,17.1,DS,2.7,0,0,DS,2.7,7,9.5,DS,2.7,0,0,0,0,0,0,"4,221",17,2,3
Expulsions without educational services total,76,100,DS,2.6,74,97.4,4,5.4,0,0,16,21.6,39,52.7,15,20.3,0,0,0,0,DS,2.6,"4,221",17,2,3
Expulsions with or without educational services for males,470,78.5,23,3.8,447,74.6,5,0.9,0,0,61,10.7,180,31.5,186,32.5,0,0,15,2.6,6,1,"4,221",17,2,3
Expulsions with or without educational services for females,129,21.5,4,0.7,125,20.9,DS,0.3,0,0,4,0.7,39,6.8,72,12.6,0,0,8,1.4,0,0,"4,221",17,2,3
Expulsions with or without educational services total,599,100,27,4.5,572,95.5,7,1.2,0,0,65,11.4,219,38.3,258,45.1,0,0,23,4,6,1,"4,221",17,2,3
Expulsions under zero-tolerance policies for males,65,81.3,DS,2.5,63,78.8,0,0,0,0,6,7.9,21,27.6,34,44.7,0,0,DS,2.6,0,0,"4,221",17,2,3
Expulsions under zero-tolerance policies for females,15,18.8,DS,2.5,13,16.3,0,0,0,0,DS,2.6,4,5.3,5,6.6,0,0,DS,2.6,0,0,"4,221",17,2,3
Expulsions under zero-tolerance policies total,80,100,4,5,76,95,0,0,0,0,8,10.5,25,32.9,39,51.3,0,0,4,5.3,0,0,"4,221",17,2,3
Referral to law enforcement for males,"2,318",77.2,51,1.7,"2,267",75.5,DS,0.1,25,0.9,464,15.8,938,32,794,27.1,DS,0.1,42,1.4,126,4.2,"4,221",17,2,3
Referral to law enforcement for females,684,22.8,19,0.6,665,22.2,DS,0.1,9,0.3,123,4.2,268,9.1,247,8.4,0,0,16,0.5,34,1.1,"4,221",17,2,3
Referral to law enforcement total,"3,002",100,70,2.3,"2,932",97.7,4,0.1,34,1.2,587,20,"1,206",41.1,"1,041",35.5,DS,0.1,58,2,160,5.3,"4,221",17,2,3
School-related arrests for males,"1,064",74.8,23,1.6,"1,041",73.2,DS,0.1,DS,0.1,195,14,491,35.3,325,23.4,DS,0.1,24,1.7,40,2.8,"4,221",17,2,3
School-related arrests for females,359,25.2,11,0.8,348,24.5,DS,0.1,DS,0.1,56,4,158,11.4,120,8.6,0,0,10,0.7,12,0.8,"4,221",17,2,3
School-related arrests total,"1,423",100,34,2.4,"1,389",97.6,4,0.3,4,0.3,251,18.1,649,46.7,445,32,DS,0.1,34,2.4,52,3.7,"4,221",17,2,3
