,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention of students,Arkansas,2,Female,"1,359 ",47.5 ,6 ,0.2 ,28 ,1.0 ,140 ,4.9 ,761 ,26.6 ,404 ,14.1 ,1-3 ,0.1 ,18 ,0.6 ,95 ,3.3 ,11 ,0.4 ,136 ,4.7 ,493 ,100.0 
Retention of students,Arkansas,,Total,"2,864 ",100.0 ,12 ,0.4 ,57 ,2.0 ,312 ,10.9 ,"1,574 ",55.0 ,864 ,30.2 ,7 ,0.2 ,38 ,1.3 ,327 ,11.4 ,30 ,1.0 ,307 ,10.7 ,493 ,100.0 
Retention of students,Arkansas,,Male,"1,224 ",51.9 ,9 ,0.4 ,25 ,1.1 ,117 ,5.0 ,737 ,31.3 ,322 ,13.7 ,1-3 ,0.1 ,12 ,0.5 ,182 ,7.7 ,19 ,0.8 ,124 ,5.3 ,494 ,100.0 
Retention of students,Arkansas,3,Female,"1,133 ",48.1 ,7 ,0.3 ,23 ,1.0 ,133 ,5.6 ,673 ,28.6 ,284 ,12.0 ,1-3 ,0.1 ,11 ,0.5 ,94 ,4.0 ,10 ,0.4 ,131 ,5.6 ,494 ,100.0 
Retention of students,Arkansas,,Total,"2,357 ",100.0 ,16 ,0.7 ,48 ,2.0 ,250 ,10.6 ,"1,410 ",59.8 ,606 ,25.7 ,4 ,0.2 ,23 ,1.0 ,276 ,11.7 ,29 ,1.2 ,255 ,10.8 ,494 ,100.0 
Retention of students,Arkansas,,Male,"1,173 ",51.3 ,7 ,0.3 ,19 ,0.8 ,131 ,5.7 ,705 ,30.8 ,297 ,13.0 ,0 ,0.0 ,14 ,0.6 ,229 ,10.0 ,18 ,0.8 ,129 ,5.6 ,487 ,100.0 
Retention of students,Arkansas,4,Female,"1,114 ",48.7 ,1-3 ,0.1 ,19 ,0.8 ,117 ,5.1 ,711 ,31.1 ,249 ,10.9 ,0 ,0.0 ,16 ,0.7 ,88 ,3.8 ,6 ,0.3 ,110 ,4.8 ,487 ,100.0 
Retention of students,Arkansas,,Total,"2,287 ",100.0 ,9 ,0.4 ,38 ,1.7 ,248 ,10.8 ,"1,416 ",61.9 ,546 ,23.9 ,0 ,0.0 ,30 ,1.3 ,317 ,13.9 ,24 ,1.0 ,239 ,10.5 ,487 ,100.0 
Retention of students,Arkansas,,Male,"1,166 ",52.3 ,4 ,0.2 ,23 ,1.0 ,119 ,5.3 ,724 ,32.5 ,281 ,12.6 ,1-3 ,0.1 ,13 ,0.6 ,177 ,7.9 ,31 ,1.4 ,118 ,5.3 ,440 ,100.0 
Retention of students,Arkansas,5,Female,"1,062 ",47.7 ,1-3 ,0.1 ,27 ,1.2 ,83 ,3.7 ,722 ,32.4 ,216 ,9.7 ,1-3 ,0.1 ,10 ,0.4 ,77 ,3.5 ,7 ,0.3 ,84 ,3.8 ,440 ,100.0 
Retention of students,Arkansas,,Total,"2,228 ",100.0 ,6 ,0.3 ,50 ,2.2 ,202 ,9.1 ,"1,446 ",64.9 ,497 ,22.3 ,4 ,0.2 ,23 ,1.0 ,254 ,11.4 ,38 ,1.7 ,202 ,9.1 ,440 ,100.0 
Retention of students,Arkansas,,Male,"1,059 ",51.5 ,6 ,0.3 ,10 ,0.5 ,104 ,5.1 ,706 ,34.3 ,216 ,10.5 ,0 ,0.0 ,17 ,0.8 ,158 ,7.7 ,28 ,1.4 ,86 ,4.2 ,345 ,100.0 
Retention of students,Arkansas,6,Female,998 ,48.5 ,1-3 ,0.1 ,13 ,0.6 ,85 ,4.1 ,726 ,35.3 ,165 ,8.0 ,1-3 ,0.1 ,5 ,0.2 ,72 ,3.5 ,10 ,0.5 ,87 ,4.2 ,345 ,100.0 
Retention of students,Arkansas,,Total,"2,057 ",100.0 ,8 ,0.4 ,23 ,1.1 ,189 ,9.2 ,"1,432 ",69.6 ,381 ,18.5 ,1-3 ,0.1 ,22 ,1.1 ,230 ,11.2 ,38 ,1.8 ,173 ,8.4 ,345 ,100.0 
Retention of students,Arkansas,,Male,"1,205 ",52.6 ,1-3 ,0.1 ,15 ,0.7 ,92 ,4.0 ,761 ,33.2 ,324 ,14.1 ,0 ,0.0 ,11 ,0.5 ,159 ,6.9 ,30 ,1.3 ,74 ,3.2 ,309 ,100.0 
Retention of students,Arkansas,7,Female,"1,088 ",47.4 ,5 ,0.2 ,10 ,0.4 ,85 ,3.7 ,750 ,32.7 ,229 ,10.0 ,0 ,0.0 ,9 ,0.4 ,62 ,2.7 ,12 ,0.5 ,65 ,2.8 ,309 ,100.0 
Retention of students,Arkansas,,Total,"2,293 ",100.0 ,7 ,0.3 ,25 ,1.1 ,177 ,7.7 ,"1,511 ",65.9 ,553 ,24.1 ,0 ,0.0 ,20 ,0.9 ,221 ,9.6 ,42 ,1.8 ,139 ,6.1 ,309 ,100.0 
Retention of students,Arkansas,,Male,"1,192 ",54.1 ,1-3 ,0.1 ,22 ,1.0 ,89 ,4.0 ,785 ,35.6 ,284 ,12.9 ,1-3 ,0.1 ,8 ,0.4 ,163 ,7.4 ,33 ,1.5 ,64 ,2.9 ,309 ,100.0 
Retention of students,Arkansas,8,Female,"1,013 ",45.9 ,1-3 ,0.1 ,19 ,0.9 ,92 ,4.2 ,681 ,30.9 ,208 ,9.4 ,1-3 ,0.1 ,9 ,0.4 ,52 ,2.4 ,16 ,0.7 ,71 ,3.2 ,309 ,100.0 
Retention of students,Arkansas,,Total,"2,205 ",100.0 ,4 ,0.2 ,41 ,1.9 ,181 ,8.2 ,"1,466 ",66.5 ,492 ,22.3 ,4 ,0.2 ,17 ,0.8 ,215 ,9.8 ,49 ,2.2 ,135 ,6.1 ,309 ,100.0 
Retention of students,Arkansas,,Male,"1,920 ",55.6 ,1-3 ,0.1 ,45 ,1.3 ,168 ,4.9 ,"1,091 ",31.6 ,600 ,17.4 ,0 ,0.0 ,14 ,0.4 ,216 ,6.3 ,37 ,1.1 ,100 ,2.9 ,308 ,100.0 
Retention of students,Arkansas,9,Female,"1,534 ",44.4 ,12 ,0.3 ,35 ,1.0 ,130 ,3.8 ,922 ,26.7 ,420 ,12.2 ,1-3 ,0.1 ,13 ,0.4 ,102 ,3.0 ,18 ,0.5 ,76 ,2.2 ,308 ,100.0 
Retention of students,Arkansas,,Total,"3,454 ",100.0 ,14 ,0.4 ,80 ,2.3 ,298 ,8.6 ,"2,013 ",58.3 ,"1,020 ",29.5 ,1-3 ,0.1 ,27 ,0.8 ,318 ,9.2 ,55 ,1.6 ,176 ,5.1 ,308 ,100.0 
Retention of students,Arkansas,,Male,"1,583 ",53.7 ,1-3 ,0.1 ,40 ,1.4 ,154 ,5.2 ,928 ,31.5 ,436 ,14.8 ,12 ,0.4 ,11 ,0.4 ,211 ,7.2 ,27 ,0.9 ,125 ,4.2 ,298 ,100.0 
Retention of students,Arkansas,10,Female,"1,365 ",46.3 ,1-3 ,0.1 ,39 ,1.3 ,123 ,4.2 ,811 ,27.5 ,369 ,12.5 ,11 ,0.4 ,10 ,0.3 ,97 ,3.3 ,18 ,0.6 ,104 ,3.5 ,298 ,100.0 
Retention of students,Arkansas,,Total,"2,948 ",100.0 ,4 ,0.1 ,79 ,2.7 ,277 ,9.4 ,"1,739 ",59.0 ,805 ,27.3 ,23 ,0.8 ,21 ,0.7 ,308 ,10.4 ,45 ,1.5 ,229 ,7.8 ,298 ,100.0 
Retention of students,Arkansas,,Male,"1,156 ",52.6 ,4 ,0.2 ,29 ,1.3 ,132 ,6.0 ,657 ,29.9 ,324 ,14.7 ,4 ,0.2 ,6 ,0.3 ,131 ,6.0 ,21 ,1.0 ,96 ,4.4 ,299 ,100.0 
Retention of students,Arkansas,11,Female,"1,041 ",47.4 ,1-3 ,0.1 ,19 ,0.9 ,82 ,3.7 ,683 ,31.1 ,242 ,11.0 ,6 ,0.3 ,7 ,0.3 ,78 ,3.6 ,16 ,0.7 ,54 ,2.5 ,299 ,100.0 
Retention of students,Arkansas,,Total,"2,197 ",100.0 ,6 ,0.3 ,48 ,2.2 ,214 ,9.7 ,"1,340 ",61.0 ,566 ,25.8 ,10 ,0.5 ,13 ,0.6 ,209 ,9.5 ,37 ,1.7 ,150 ,6.8 ,299 ,100.0 
Retention of students,Arkansas,,Male,"1,103 ",51.7 ,6 ,0.3 ,28 ,1.3 ,100 ,4.7 ,643 ,30.2 ,320 ,15.0 ,1-3 ,0.1 ,4 ,0.2 ,101 ,4.7 ,29 ,1.4 ,65 ,3.0 ,295 ,100.0 
Retention of students,Arkansas,12,Female,"1,029 ",48.3 ,1-3 ,0.1 ,34 ,1.6 ,85 ,4.0 ,648 ,30.4 ,249 ,11.7 ,1-3 ,0.1 ,9 ,0.4 ,63 ,3.0 ,14 ,0.7 ,55 ,2.6 ,295 ,100.0 
Retention of students,Arkansas,,Total,"2,132 ",100.0 ,8 ,0.4 ,62 ,2.9 ,185 ,8.7 ,"1,291 ",60.6 ,569 ,26.7 ,4 ,0.2 ,13 ,0.6 ,164 ,7.7 ,43 ,2.0 ,120 ,5.6 ,295 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 4,092 public school students retained in kindergarten, 12 (0.3%) were American Indian or Alaska Native, 516 (12.6%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 26 (0.6%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
