,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention of students,Delaware,2,Female,86 ,46.0 ,1-3 ,1.1 ,1-3 ,1.1 ,21 ,11.2 ,36 ,19.3 ,23 ,12.3 ,0 ,0.0 ,1-3 ,1.1 ,14 ,7.5 ,1-3 ,1.1 ,16 ,8.6 ,126 ,100.0 
Retention of students,Delaware,,Total,187 ,100.0 ,1-3 ,1.1 ,4 ,2.1 ,40 ,21.4 ,86 ,46.0 ,53 ,28.3 ,0 ,0.0 ,1-3 ,1.1 ,27 ,14.4 ,7 ,3.7 ,28 ,15.0 ,126 ,100.0 
Retention of students,Delaware,,Male,84 ,60.4 ,0 ,0.0 ,1-3 ,1.4 ,19 ,13.7 ,44 ,31.7 ,15 ,10.8 ,1-3 ,1.4 ,1-3 ,1.4 ,22 ,15.8 ,1-3 ,1.4 ,9 ,6.5 ,126 ,100.0 
Retention of students,Delaware,3,Female,55 ,39.6 ,1-3 ,1.4 ,0 ,0.0 ,18 ,12.9 ,20 ,14.4 ,13 ,9.4 ,0 ,0.0 ,1-3 ,1.4 ,6 ,4.3 ,0 ,0.0 ,13 ,9.4 ,126 ,100.0 
Retention of students,Delaware,,Total,139 ,100.0 ,1-3 ,1.4 ,1-3 ,1.4 ,37 ,26.6 ,64 ,46.0 ,28 ,20.1 ,1-3 ,1.4 ,4 ,2.9 ,28 ,20.1 ,1-3 ,1.4 ,22 ,15.8 ,126 ,100.0 
Retention of students,Delaware,,Male,46 ,67.6 ,0 ,0.0 ,0 ,0.0 ,8 ,11.8 ,25 ,36.8 ,13 ,19.1 ,0 ,0.0 ,0 ,0.0 ,10 ,14.7 ,0 ,0.0 ,1-3 ,2.9 ,124 ,100.0 
Retention of students,Delaware,4,Female,22 ,32.4 ,0 ,0.0 ,1-3 ,2.9 ,1-3 ,2.9 ,13 ,19.1 ,5 ,7.4 ,0 ,0.0 ,0 ,0.0 ,7 ,10.3 ,0 ,0.0 ,0 ,0.0 ,124 ,100.0 
Retention of students,Delaware,,Total,68 ,100.0 ,0 ,0.0 ,1-3 ,2.9 ,10 ,14.7 ,38 ,55.9 ,18 ,26.5 ,0 ,0.0 ,0 ,0.0 ,17 ,25.0 ,0 ,0.0 ,1-3 ,2.9 ,124 ,100.0 
Retention of students,Delaware,,Male,35 ,74.5 ,1-3 ,4.3 ,0 ,0.0 ,1-3 ,4.3 ,16 ,34.0 ,13 ,27.7 ,0 ,0.0 ,1-3 ,4.3 ,6 ,12.8 ,0 ,0.0 ,4 ,8.5 ,123 ,100.0 
Retention of students,Delaware,5,Female,12 ,25.5 ,0 ,0.0 ,0 ,0.0 ,4 ,8.5 ,4 ,8.5 ,4 ,8.5 ,0 ,0.0 ,0 ,0.0 ,1-3 ,4.3 ,0 ,0.0 ,1-3 ,4.3 ,123 ,100.0 
Retention of students,Delaware,,Total,47 ,100.0 ,1-3 ,4.3 ,0 ,0.0 ,6 ,12.8 ,20 ,42.6 ,17 ,36.2 ,0 ,0.0 ,1-3 ,4.3 ,8 ,17.0 ,0 ,0.0 ,6 ,12.8 ,123 ,100.0 
Retention of students,Delaware,,Male,74 ,74.0 ,0 ,0.0 ,0 ,0.0 ,6 ,6.0 ,47 ,47.0 ,21 ,21.0 ,0 ,0.0 ,0 ,0.0 ,19 ,19.0 ,4 ,4.0 ,5 ,5.0 ,79 ,100.0 
Retention of students,Delaware,6,Female,26 ,26.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1-3 ,18 ,18.0 ,6 ,6.0 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1-3 ,0 ,0.0 ,0 ,0.0 ,79 ,100.0 
Retention of students,Delaware,,Total,100 ,100.0 ,0 ,0.0 ,0 ,0.0 ,8 ,8.0 ,65 ,65.0 ,27 ,27.0 ,0 ,0.0 ,0 ,0.0 ,21 ,21.0 ,4 ,4.0 ,5 ,5.0 ,79 ,100.0 
Retention of students,Delaware,,Male,118 ,68.2 ,0 ,0.0 ,0 ,0.0 ,10 ,5.8 ,72 ,41.6 ,32 ,18.5 ,1-3 ,1.2 ,1-3 ,1.2 ,35 ,20.2 ,4 ,2.3 ,1-3 ,1.2 ,79 ,100.0 
Retention of students,Delaware,7,Female,55 ,31.8 ,0 ,0.0 ,0 ,0.0 ,1-3 ,1.2 ,24 ,13.9 ,27 ,15.6 ,0 ,0.0 ,1-3 ,1.2 ,11 ,6.4 ,1-3 ,1.2 ,1-3 ,1.2 ,79 ,100.0 
Retention of students,Delaware,,Total,173 ,100.0 ,0 ,0.0 ,0 ,0.0 ,12 ,6.9 ,96 ,55.5 ,59 ,34.1 ,1-3 ,1.2 ,4 ,2.3 ,46 ,26.6 ,6 ,3.5 ,4 ,2.3 ,79 ,100.0 
Retention of students,Delaware,,Male,83 ,73.5 ,0 ,0.0 ,1-3 ,1.8 ,6 ,5.3 ,41 ,36.3 ,34 ,30.1 ,0 ,0.0 ,0 ,0.0 ,22 ,19.5 ,6 ,5.3 ,1-3 ,1.8 ,79 ,100.0 
Retention of students,Delaware,8,Female,30 ,26.5 ,0 ,0.0 ,0 ,0.0 ,0 ,0.0 ,15 ,13.3 ,13 ,11.5 ,0 ,0.0 ,1-3 ,1.8 ,4 ,3.5 ,0 ,0.0 ,0 ,0.0 ,79 ,100.0 
Retention of students,Delaware,,Total,113 ,100.0 ,0 ,0.0 ,1-3 ,1.8 ,6 ,5.3 ,56 ,49.6 ,47 ,41.6 ,0 ,0.0 ,1-3 ,1.8 ,26 ,23.0 ,6 ,5.3 ,1-3 ,1.8 ,79 ,100.0 
Retention of students,Delaware,,Male,763 ,65.4 ,1-3 ,0.2 ,10 ,0.9 ,86 ,7.4 ,399 ,34.2 ,264 ,22.6 ,0 ,0.0 ,1-3 ,0.2 ,206 ,17.7 ,22 ,1.9 ,36 ,3.1 ,68 ,100.0 
Retention of students,Delaware,9,Female,404 ,34.6 ,0 ,0.0 ,1-3 ,0.2 ,55 ,4.7 ,215 ,18.4 ,128 ,11.0 ,1-3 ,0.2 ,1-3 ,0.2 ,82 ,7.0 ,14 ,1.2 ,14 ,1.2 ,68 ,100.0 
Retention of students,Delaware,,Total,"1,167 ",100.0 ,1-3 ,0.2 ,12 ,1.0 ,141 ,12.1 ,614 ,52.6 ,392 ,33.6 ,1-3 ,0.2 ,4 ,0.3 ,288 ,24.7 ,36 ,3.1 ,50 ,4.3 ,68 ,100.0 
Retention of students,Delaware,,Male,404 ,63.2 ,0 ,0.0 ,5 ,0.8 ,40 ,6.3 ,211 ,33.0 ,146 ,22.8 ,0 ,0.0 ,1-3 ,0.3 ,92 ,14.4 ,10 ,1.6 ,11 ,1.7 ,65 ,100.0 
Retention of students,Delaware,10,Female,235 ,36.8 ,0 ,0.0 ,1-3 ,0.3 ,37 ,5.8 ,119 ,18.6 ,75 ,11.7 ,1-3 ,0.3 ,0 ,0.0 ,29 ,4.5 ,4 ,0.6 ,10 ,1.6 ,65 ,100.0 
Retention of students,Delaware,,Total,639 ,100.0 ,0 ,0.0 ,7 ,1.1 ,77 ,12.1 ,330 ,51.6 ,221 ,34.6 ,1-3 ,0.3 ,1-3 ,0.3 ,121 ,18.9 ,14 ,2.2 ,21 ,3.3 ,65 ,100.0 
Retention of students,Delaware,,Male,241 ,58.9 ,4 ,1.0 ,5 ,1.2 ,26 ,6.4 ,108 ,26.4 ,96 ,23.5 ,0 ,0.0 ,1-3 ,0.5 ,49 ,12.0 ,5 ,1.2 ,4 ,1.0 ,65 ,100.0 
Retention of students,Delaware,11,Female,168 ,41.1 ,1-3 ,0.5 ,1-3 ,0.5 ,11 ,2.7 ,77 ,18.8 ,74 ,18.1 ,0 ,0.0 ,1-3 ,0.5 ,16 ,3.9 ,1-3 ,0.5 ,1-3 ,0.5 ,65 ,100.0 
Retention of students,Delaware,,Total,409 ,100.0 ,6 ,1.5 ,7 ,1.7 ,37 ,9.0 ,185 ,45.2 ,170 ,41.6 ,0 ,0.0 ,4 ,1.0 ,65 ,15.9 ,7 ,1.7 ,6 ,1.5 ,65 ,100.0 
Retention of students,Delaware,,Male,192 ,65.8 ,0 ,0.0 ,4 ,1.4 ,16 ,5.5 ,80 ,27.4 ,90 ,30.8 ,0 ,0.0 ,1-3 ,0.7 ,104 ,35.6 ,1-3 ,0.7 ,1-3 ,0.7 ,59 ,100.0 
Retention of students,Delaware,12,Female,100 ,34.2 ,1-3 ,0.7 ,1-3 ,0.7 ,9 ,3.1 ,42 ,14.4 ,43 ,14.7 ,0 ,0.0 ,1-3 ,0.7 ,45 ,15.4 ,0 ,0.0 ,1-3 ,0.7 ,59 ,100.0 
Retention of students,Delaware,,Total,292 ,100.0 ,1-3 ,0.7 ,6 ,2.1 ,25 ,8.6 ,122 ,41.8 ,133 ,45.5 ,0 ,0.0 ,4 ,1.4 ,149 ,51.0 ,1-3 ,0.7 ,4 ,1.4 ,59 ,100.0 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"NOTE: Table reads:  Of all 223 public school students retained in kindergarten, 1-3 (0.9%) were American Indian or Alaska Native, 62 (27.8%) were students with disabilities served under the Individuals with Disabilities Education Act (IDEA), and 0 (0.0%) were students with disabilities served solely under Section 504 of the Rehabilitation Act of 1973.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"            The ‘1-3’ reference indicates that the data have been suppressed based on the schools’ reported n-size, and that the midpoint was used to calculate the total.",,,,,,,,,,,,,,,,,,,,,,,,,,
,"SOURCE: U.S. Department of Education, Office for Civil Rights, Civil Rights Data Collection, 2011-12, available at http://ocrdata.ed.gov. Data notes are available at http://ocrdata.ed.gov/downloads/DataNotes.docx",,,,,,,,,,,,,,,,,,,,,,,,,,
