Discipline by gender	Number of Students With Disabilities	Percent of Students With Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students With Disabilities Served Under IDEA	Number of Asian Students With Disabilities Served Under IDEA	Percent of Asian Students With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students With Disabilities Served Under IDEA	Number of Black or African American Students With Disabilities Served Under IDEA	Percent of Black or African American Students With Disabilities Served Under IDEA	Number of White Students With Disabilities Served Under IDEA	Percent of White Students With Disabilities Served Under IDEA	Number of Native Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Percent of Hawaiian or other Pacific Islander Students With Disabilities Served Under IDEA	Number of Two or more races Students With Disabilities Served Under IDEA	Percent of Two or more races Students With Disabilities Served Under IDEA	Number of English Language Learners With Disabilities 	Percent of English Language Learners With Disabilities 	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	936	19.6	58	1.2	878	18.4	0	0	7	0.2	42	0.9	616	13.7	189	4.2	DS	0	22	0.5	11	0.2	"1,444"	24	3	5
More than one out-of-school suspension total	"4,777"	100	292	6.1	"4,485"	93.9	11	0.2	28	0.6	252	5.6	"2,984"	66.5	"1,067"	23.8	19	0.4	124	2.8	50	1	"1,444"	24	3	5
One or more out-of-school suspensions on males	"9,258"	78.6	599	5.1	"8,659"	73.5	32	0.3	58	0.5	583	5.3	"5,334"	48.5	"2,367"	21.5	42	0.4	243	2.2	98	0.8	"1,444"	24	3	5
One or more out-of-school suspensions on females	"2,516"	21.4	167	1.4	"2,349"	20	6	0.1	12	0.1	136	1.2	"1,561"	14.2	566	5.1	5	0	63	0.6	22	0.2	"1,444"	24	3	5
One or more out-of-school suspensions total	"11,774"	100	766	6.5	"11,008"	93.5	38	0.3	70	0.6	719	6.5	"6,895"	62.6	"2,933"	26.6	47	0.4	306	2.8	120	1	"1,444"	24	3	5
Expulsions with educational services on males	151	81.2	7	3.8	144	77.4	0	0	0	0	DS	1.1	136	78.2	6	3.4	0	0	0	0	DS	1.1	"1,444"	24	3	5
Expulsions with educational services on females	35	18.8	5	2.7	30	16.1	0	0	0	0	0	0	28	16.1	DS	1.1	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions with educational services total	186	100	12	6.5	174	93.5	0	0	0	0	DS	1.1	164	94.3	8	4.6	0	0	0	0	DS	1.1	"1,444"	24	3	5
Expulsions without educational services on males	28	70	0	0	28	70	0	0	DS	5	0	0	15	37.5	11	27.5	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions without educational services on females	12	30	0	0	12	30	0	0	0	0	0	0	10	25	DS	5	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions without educational services total	40	100	0	0	40	100	0	0	DS	5	0	0	25	62.5	13	32.5	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions with or without educational services on males	180	79.6	7	3.1	173	76.5	0	0	DS	0.9	DS	0.9	152	71	17	7.9	0	0	0	0	DS	0.9	"1,444"	24	3	5
Expulsions with or without educational services on females	46	20.4	5	2.2	41	18.1	0	0	0	0	0	0	39	18.2	DS	0.9	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions with or without educational services total	226	100	12	5.3	214	94.7	0	0	DS	0.9	DS	0.9	191	89.3	19	8.9	0	0	0	0	DS	0.9	"1,444"	24	3	5
Expulsions under zero-tolerance policies on males	8	80	0	0	8	80	0	0	0	0	0	0	8	80	0	0	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions under zero-tolerance policies on females	DS	20	0	0	DS	20	0	0	0	0	0	0	DS	20	0	0	0	0	0	0	0	0	"1,444"	24	3	5
Expulsions under zero-tolerance policies total	10	100	0	0	10	100	0	0	0	0	0	0	10	100	0	0	0	0	0	0	0	0	"1,444"	24	3	5
Referral to law enforcement on males	440	84.5	57	10.9	383	73.5	DS	0.4	7	1.6	49	10.9	139	30.9	170	37.8	0	0	16	3.6	5	1	"1,444"	24	3	5
Referral to law enforcement on females	81	15.5	14	2.7	67	12.9	0	0	0	0	14	3.1	22	4.9	29	6.4	0	0	DS	0.4	0	0	"1,444"	24	3	5
Referral to law enforcement total	521	100	71	13.6	450	86.4	DS	0.4	7	1.6	63	14	161	35.8	199	44.2	0	0	18	4	5	1	"1,444"	24	3	5
School-related arrests on males	261	80.3	48	14.8	213	65.5	0	0	DS	0.7	20	7.5	112	41.8	73	27.2	0	0	6	2.2	0	0	"1,444"	24	3	5
School-related arrests on females	64	19.7	9	2.8	55	16.9	0	0	0	0	6	2.2	37	13.8	12	4.5	0	0	0	0	0	0	"1,444"	24	3	5
School-related arrests total	325	100	57	17.5	268	82.5	0	0	DS	0.7	26	9.7	149	55.6	85	31.7	0	0	6	2.2	0	0	"1,444"	24	3	5
