Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"6,848"	30.9	DS	0	"6,846"	30.9	5	0	6	0	55	0.2	"5,681"	25.7	"1,093"	4.9	4	0	DS	0	14	0.1	973	28	3	6
More than one out-of-school suspension total	"22,135"	100	4	0	"22,131"	100	22	0.1	44	0.2	206	0.9	"17,234"	77.9	"4,608"	20.8	11	0	6	0	56	0.3	973	28	3	6
One or more out-of-school suspensions on males	"34,216"	67.1	11	0	"34,205"	67	33	0.1	100	0.2	404	0.8	"24,446"	47.9	"9,201"	18	11	0	10	0	121	0.2	973	28	3	6
One or more out-of-school suspensions on females	"16,814"	32.9	4	0	"16,810"	32.9	13	0	22	0	142	0.3	"13,451"	26.4	"3,174"	6.2	4	0	4	0	36	0.1	973	28	3	6
One or more out-of-school suspensions total	"51,030"	100	15	0	"51,015"	100	46	0.1	122	0.2	546	1.1	"37,897"	74.3	"12,375"	24.3	15	0	14	0	157	0.3	973	28	3	6
Expulsions with educational services on males	390	76.9	0	0	390	76.9	0	0	0	0	4	0.8	267	52.7	117	23.1	0	0	DS	0.4	0	0	973	28	3	6
Expulsions with educational services on females	117	23.1	0	0	117	23.1	0	0	0	0	0	0	85	16.8	30	5.9	0	0	DS	0.4	DS	0.4	973	28	3	6
Expulsions with educational services total	507	100	0	0	507	100	0	0	0	0	4	0.8	352	69.4	147	29	0	0	4	0.8	DS	0.4	973	28	3	6
Expulsions without educational services on males	444	80.7	0	0	444	80.7	0	0	4	0.7	DS	0.4	328	59.6	110	20	0	0	0	0	DS	0.4	973	28	3	6
Expulsions without educational services on females	106	19.3	0	0	106	19.3	0	0	0	0	DS	0.4	80	14.5	24	4.4	0	0	0	0	0	0	973	28	3	6
Expulsions without educational services total	550	100	0	0	550	100	0	0	4	0.7	4	0.7	408	74.2	134	24.4	0	0	0	0	DS	0.4	973	28	3	6
Expulsions with or without educational services on males	837	78.8	0	0	837	78.8	0	0	4	0.4	7	0.7	596	56.1	228	21.5	0	0	DS	0.2	DS	0.2	973	28	3	6
Expulsions with or without educational services on females	225	21.2	0	0	225	21.2	0	0	0	0	DS	0.2	167	15.7	54	5.1	0	0	DS	0.2	DS	0.2	973	28	3	6
Expulsions with or without educational services total	"1,062"	100	0	0	"1,062"	100	0	0	4	0.4	9	0.8	763	71.8	282	26.6	0	0	4	0.4	4	0.4	973	28	3	6
Expulsions under zero-tolerance policies on males	218	82.3	0	0	218	82.3	0	0	0	0	DS	0.8	150	56.6	66	24.9	0	0	0	0	DS	0.8	973	28	3	6
Expulsions under zero-tolerance policies on females	47	17.7	0	0	47	17.7	0	0	0	0	0	0	24	9.1	23	8.7	0	0	0	0	DS	0.8	973	28	3	6
Expulsions under zero-tolerance policies total	265	100	0	0	265	100	0	0	0	0	DS	0.8	174	65.7	89	33.6	0	0	0	0	4	1.5	973	28	3	6
Referral to law enforcement on males	"1,625"	68.8	0	0	"1,625"	68.8	4	0.2	6	0.3	20	0.8	"1,167"	49.4	424	17.9	DS	0.1	DS	0.1	DS	0.1	973	28	3	6
Referral to law enforcement on females	738	31.2	0	0	738	31.2	0	0	DS	0.1	5	0.2	548	23.2	181	7.7	0	0	DS	0.1	0	0	973	28	3	6
Referral to law enforcement total	"2,363"	100	0	0	"2,363"	100	4	0.2	8	0.3	25	1.1	"1,715"	72.6	605	25.6	DS	0.1	4	0.2	DS	0.1	973	28	3	6
School-related arrests on males	573	67.4	DS	0.2	571	67.2	DS	0.2	4	0.5	12	1.4	359	42.3	194	22.9	0	0	0	0	DS	0.2	973	28	3	6
School-related arrests on females	277	32.6	0	0	277	32.6	0	0	DS	0.2	4	0.5	189	22.3	82	9.7	0	0	0	0	DS	0.2	973	28	3	6
School-related arrests total	850	100	DS	0.2	848	99.8	DS	0.2	6	0.7	16	1.9	548	64.6	276	32.5	0	0	0	0	4	0.5	973	28	3	6
