State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Female Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians 	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites 	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Indiana		18	2	3	138	DS	1.4	DS	1.4	DS	1.4	13	9.4	114	82.6	0	0	5	3.6	0	0	"1,875"
Iowa		19	2	4	190	DS	1.1	DS	1.1	5	2.6	31	16.3	143	75.3	0	0	7	3.7	0	0	"1,458"
Kansas		20	2	4	58	DS	3.4	DS	3.4	DS	3.4	7	12.1	41	70.7	0	0	4	6.9	0	0	"1,389"
Kentucky		21	3	6	145	0	0	DS	1.4	0	0	21	14.5	120	82.8	0	0	DS	1.4	0	0	"1,417"
Louisiana		22	3	7	11	0	0	0	0	DS	18.2	4	36.4	5	45.5	0	0	0	0	0	0	"1,394"
Maine		23	1	1	98	0	0	0	0	DS	2	DS	2	92	93.9	0	0	DS	2	0	0	595
Maryland		24	3	5	48	DS	4.2	DS	4.2	DS	4.2	26	54.2	14	29.2	0	0	DS	4.2	DS	4.2	"1,444"
Massachusetts		25	1	1	108	0	0	DS	1.9	30	27.8	22	20.4	52	48.1	0	0	DS	1.9	7	6.5	"1,834"
Michigan		26	2	3	325	DS	0.6	4	1.2	11	3.4	73	22.5	230	70.8	0	0	5	1.5	DS	0.6	"3,626"
Minnesota		27	2	4	332	8	2.4	6	1.8	11	3.3	137	41.3	160	48.2	0	0	10	3	DS	0.6	"2,077"
Mississippi		28	3	6	15	0	0	0	0	0	0	10	66.7	5	33.3	0	0	0	0	0	0	973
Missouri		29	2	4	202	0	0	DS	1	7	3.5	34	16.8	152	75.2	DS	1	5	2.5	0	0	"2,312"
Montana		30	4	8	22	DS	9.1	0	0	DS	9.1	DS	9.1	16	72.7	0	0	0	0	0	0	781
Nebraska		31	2	4	40	DS	5	0	0	DS	5	8	20	24	60	0	0	4	10	0	0	"1,073"
Nevada		32	4	8	102	DS	2	DS	2	15	14.7	33	32.4	44	43.1	DS	2	4	3.9	DS	2	649
New Hampshire		33	1	1	88	0	0	0	0	DS	2.3	6	6.8	80	90.9	0	0	0	0	DS	2.3	478
New Jersey		34	1	2	189	0	0	5	2.6	41	21.7	72	38.1	60	31.7	0	0	11	5.8	0	0	"2,538"
New Mexico		35	4	8	19	DS	10.5	0	0	11	57.9	0	0	4	21.1	0	0	DS	10.5	7	36.8	853
New York		36	1	2	489	DS	0.4	7	1.4	70	14.3	152	31.1	251	51.3	DS	0.4	5	1	DS	0.4	"4,864"
North Carolina		37	3	5	60	0	0	0	0	DS	3.3	24	40	32	53.3	0	0	DS	3.3	DS	3.3	"2,535"
North Dakota		38	2	4	15	DS	13.3	0	0	0	0	DS	13.3	11	73.3	0	0	0	0	0	0	468
Ohio		39	2	3	197	0	0	DS	1	DS	1	54	27.4	121	61.4	0	0	18	9.1	0	0	"3,702"
Oklahoma		40	3	7	49	7	14.3	0	0	DS	4.1	12	24.5	26	53.1	0	0	DS	4.1	DS	4.1	"1,774"
Oregon		41	9	4	86	DS	2.3	DS	2.3	8	9.3	6	7	66	76.7	0	0	DS	2.3	DS	2.3	"1,312"
Pennsylvania		42	1	2	194	0	0	DS	1	13	6.7	47	24.2	126	64.9	DS	1	4	2.1	DS	1	"3,220"
Rhode Island		44	1	1	40	0	0	0	0	19	47.5	7	17.5	12	30	0	0	DS	5	DS	5	291
South Carolina		45	3	5	78	0	0	DS	2.6	DS	2.6	37	47.4	35	44.9	0	0	DS	2.6	0	0	"1,219"
South Dakota		46	2	4	45	16	35.6	0	0	0	0	5	11.1	24	53.3	0	0	0	0	DS	4.4	668
Tennessee		47	3	6	101	0	0	DS	2	4	4	27	26.7	66	65.3	0	0	DS	2	DS	2	"1,802"
Texas		48	3	7	693	5	0.7	4	0.6	183	26.4	203	29.3	285	41.1	0	0	13	1.9	26	3.8	"8,472"
Utah		49	4	8	43	0	0	0	0	DS	4.7	5	11.6	34	79.1	0	0	DS	4.7	0	0	981
Vermont		50	1	1	47	DS	4.3	DS	4.3	DS	4.3	DS	4.3	39	83	0	0	0	0	0	0	295
Virginia		51	3	5	94	0	0	DS	2.1	DS	2.1	51	54.3	33	35.1	0	0	6	6.4	0	0	"1,984"
Washington		53	4	9	85	DS	2.4	DS	2.4	4	4.7	11	12.9	54	63.5	DS	2.4	10	11.8	0	0	"2,256"
West Virginia		54	3	5	46	0	0	0	0	0	0	DS	4.3	44	95.7	0	0	0	0	0	0	733
Wisconsin		55	2	3	206	10	4.9	DS	1	5	2.4	35	17	152	73.8	0	0	DS	1	DS	1	"2,242"
Wyoming		56	4	8	27	DS	7.4	0	0	DS	7.4	0	0	21	77.8	0	0	DS	7.4	0	0	349
