County,2003 Age 0-4 Population,2003 Receiving WIC,2003 Percentage,2008 Age 0-4 Population,2008 Receiving WIC,2008 Percentage,2003-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Davis,544,91,16.70%,672,82,12.20%,-27.10%,19_026,19,2,4,,
Decatur,450,194,43.10%,506,239,47.20%,9.60%,19_027,19,2,4,,
Delaware,"1,033",166,16.10%,"1,037",180,17.40%,8.00%,19_028,19,2,4,,
Des Moines,"2,460",798,32.40%,"2,686",886,33.00%,1.70%,19_029,19,2,4,,
Dickinson,824,178,21.60%,882,146,16.60%,-23.40%,19_030,19,2,4,,
Dubuque,"5,683","1,396",24.60%,"6,124","1,619",26.40%,7.60%,19_031,19,2,4,,
Emmet,601,230,38.30%,692,224,32.40%,-15.40%,19_032,19,2,4,,
Fayette,"1,091",313,28.70%,"1,127",312,27.70%,-3.50%,19_033,19,2,4,,
Floyd,941,237,25.20%,"1,013",267,26.40%,4.70%,19_034,19,2,4,,
Franklin,575,221,38.40%,691,253,36.60%,-4.70%,19_035,19,2,4,,
Fremont,404,125,30.90%,456,97,21.30%,-31.20%,19_036,19,2,4,,
Greene,518,174,33.60%,487,158,32.40%,-3.40%,19_037,19,2,4,,
Grundy,604,95,15.70%,644,68,10.60%,-32.90%,19_038,19,2,4,,
Guthrie,647,158,24.40%,616,99,16.10%,-34.20%,19_039,19,2,4,,
Hamilton,959,276,28.80%,902,290,32.20%,11.70%,19_040,19,2,4,,
Hancock,607,122,20.10%,638,126,19.70%,-1.70%,19_041,19,2,4,,
Hardin,"1,031",314,30.50%,991,275,27.70%,-8.90%,19_042,19,2,4,,
Harrison,859,207,24.10%,865,194,22.40%,-6.90%,19_043,19,2,4,,
Henry,"1,133",271,23.90%,"1,184",319,26.90%,12.60%,19_044,19,2,4,,
Howard,534,140,26.20%,599,152,25.40%,-3.20%,19_045,19,2,4,,
Humboldt,512,197,38.50%,601,185,30.80%,-20.00%,19_046,19,2,4,,
Ida,375,145,38.70%,411,157,38.20%,-1.20%,19_047,19,2,4,,
Iowa,869,184,21.20%,957,145,15.20%,-28.40%,19_048,19,2,4,,
Jackson,"1,093",292,26.70%,"1,052",250,23.80%,-11.00%,19_049,19,2,4,,
Jasper,"2,225",488,21.90%,"2,125",554,26.10%,18.90%,19_050,19,2,4,,
Jefferson,757,260,34.30%,771,265,34.40%,0.10%,19_051,19,2,4,,
Johnson,"6,454","1,421",22.00%,"8,267","1,575",19.10%,-13.50%,19_052,19,2,4,,
Jones,"1,033",203,19.70%,"1,138",216,19.00%,-3.40%,19_053,19,2,4,,
Keokuk,665,122,18.30%,639,104,16.30%,-11.30%,19_054,19,2,4,,
Kossuth,826,217,26.30%,850,194,22.80%,-13.10%,19_055,19,2,4,,
Lee,"2,045",660,32.30%,"2,045",644,31.50%,-2.40%,19_056,19,2,4,,
Linn,"13,441","3,338",24.80%,"14,606","3,322",22.70%,-8.40%,19_057,19,2,4,,
Louisa,807,288,35.70%,733,237,32.30%,-9.40%,19_058,19,2,4,,
Lucas,522,220,42.10%,564,245,43.40%,3.10%,19_059,19,2,4,,
Lyon,759,145,19.10%,804,138,17.20%,-10.20%,19_119,19,2,4,,
Madison,949,207,21.80%,"1,014",214,21.10%,-3.20%,19_121,19,2,4,,
Mahaska,"1,360",421,31.00%,"1,493",486,32.60%,5.20%,19_123,19,2,4,,
Marion,"1,932",596,30.80%,"2,101",595,28.30%,-8.20%,19_125,19,2,4,,
Marshall,"2,608","1,139",43.70%,"3,110","1,549",49.80%,14.00%,19_127,19,2,4,,
Mills,844,193,22.90%,962,180,18.70%,-18.20%,19_129,19,2,4,,
Mitchell,630,123,19.50%,619,105,17.00%,-13.10%,19_131,19,2,4,,
Monona,486,212,43.60%,502,200,39.80%,-8.70%,19_133,19,2,4,,
Monroe,439,139,31.70%,426,173,40.60%,28.30%,19_135,19,2,4,,
Montgomery,655,268,40.90%,651,261,40.10%,-2.00%,19_137,19,2,4,,
Muscatine,"2,945","1,128",38.30%,"3,081","1,174",38.10%,-0.50%,19_139,19,2,4,,
O'Brien,782,174,22.30%,870,238,27.40%,22.90%,19_141,19,2,4,,
Osceola,365,117,32.10%,360,88,24.40%,-23.70%,19_143,19,2,4,,
Page,835,333,39.90%,847,339,40.00%,0.40%,19_145,19,2,4,,
Palo Alto,527,117,22.20%,576,140,24.30%,9.50%,19_147,19,2,4,,
Plymouth,"1,510",266,17.60%,"1,567",279,17.80%,1.10%,19_149,19,2,4,,
Pocahontas,361,98,27.10%,380,103,27.10%,-0.20%,19_151,19,2,4,,
Polk,"29,078","6,415",22.10%,"34,487","7,662",22.20%,0.70%,19_153,19,2,4,,
Pottawattamie,"5,788","2,212",38.20%,"6,213","2,257",36.30%,-4.90%,19_155,19,2,4,,
Poweshiek,950,221,23.30%,969,302,31.20%,34.00%,19_157,19,2,4,,
Ringgold,306,101,33.00%,300,78,26.00%,-21.20%,19_159,19,2,4,,
Sac,527,108,20.50%,584,114,19.50%,-4.70%,19_161,19,2,4,,
Scott,"11,036","3,247",29.40%,"11,886","3,594",30.20%,2.80%,19_163,19,2,4,,
Shelby,674,201,29.80%,584,181,31.00%,3.90%,19_165,19,2,4,,
Sioux,"2,111",639,30.30%,"2,452",731,29.80%,-1.50%,19_167,19,2,4,,
Story,"4,117",981,23.80%,"4,950","1,167",23.60%,-1.10%,19_169,19,2,4,,
Tama,"1,127",361,32.00%,"1,170",334,28.50%,-10.90%,19_171,19,2,4,,
Taylor,367,144,39.20%,341,138,40.50%,3.10%,19_173,19,2,4,,
Union,631,361,57.20%,796,347,43.60%,-23.80%,19_175,19,2,4,,
Van Buren,407,94,23.10%,484,87,18.00%,-22.20%,19_177,19,2,4,,
Wapello,"2,135","1,169",54.80%,"2,454","1,374",56.00%,2.30%,19_179,19,2,4,,
Warren,"2,486",496,20.00%,"2,757",601,21.80%,9.30%,19_181,19,2,4,,
Washington,"1,413",283,20.00%,"1,449",247,17.00%,-14.90%,19_183,19,2,4,,
Wayne,350,120,34.30%,405,133,32.80%,-4.20%,19_185,19,2,4,,
Webster,"2,361",876,37.10%,"2,429","1,005",41.40%,11.50%,19_187,19,2,4,,
Winnebago,608,227,37.30%,546,191,35.00%,-6.30%,19_189,19,2,4,,
Winneshiek,934,213,22.80%,"1,011",205,20.30%,-11.10%,19_191,19,2,4,,
Woodbury,"7,732","2,810",36.30%,"8,158","3,054",37.40%,3.00%,19_193,19,2,4,,
Worth,400,41,10.30%,401,43,10.70%,4.60%,19_195,19,2,4,,
Wright,764,291,38.10%,844,361,42.80%,12.30%,19_197,19,2,4,,
State,"181,365","51,182",28.20%,"201,321","55,742",27.70%,-1.90%,,19,2,4,,
Rural,"26,630","7,315",27.50%,"28,410","7,250",25.50%,-7.10%,,,,,,IA_Rural_Counties
Small Urban,"64,114","19,256",30.00%,"69,579","21,021",30.20%,0.60%,,,,,,IA_Urban_Counties
Metropolitan,"90,621","24,611",27.20%,"103,332","27,471",26.60%,-2.10%,,,,,,IA_Metropolitan_Counties
United States,"19,778,166","5,773,612",29.20%,"21,005,852","6,551,319",31.20%,6.80%,,,,,US_National,
