State	Nation_ID	State_ID	Region_ID	Division_ID	Total IDEA Male Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American 	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of English Language Learners	Percent of English Language Learners	Number of Schools
New Jersey		34	1	2	162	0	0	DS	1.2	25	15.4	113	69.8	22	13.6	0	0	0	0	0	0	"2,538"
New Mexico		35	4	8	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	0	0	853
New York		36	1	2	31	0	0	0	0	DS	6.5	8	25.8	21	67.7	0	0	0	0	0	0	"4,864"
North Carolina		37	3	5	16	0	0	0	0	DS	12.5	10	62.5	DS	12.5	0	0	DS	12.5	0	0	"2,535"
North Dakota		38	2	4	6	0	0	0	0	DS	33.3	DS	33.3	DS	33.3	0	0	0	0	DS	33.3	468
Ohio		39	2	3	109	0	0	0	0	DS	1.8	23	21.1	80	73.4	0	0	4	3.7	DS	1.8	"3,702"
Oklahoma		40	3	7	94	9	9.6	0	0	5	5.3	37	39.4	43	45.7	0	0	0	0	DS	2.1	"1,774"
Oregon		41	9	4	30	DS	6.7	0	0	5	16.7	0	0	23	76.7	0	0	0	0	0	0	"1,312"
Pennsylvania		42	1	2	35	0	0	DS	5.7	0	0	7	20	24	68.6	0	0	DS	5.7	DS	5.7	"3,220"
Rhode Island		44	1	1	6	0	0	0	0	0	0	0	0	6	100	0	0	0	0	0	0	291
South Carolina		45	3	5	42	0	0	0	0	DS	4.8	31	73.8	9	21.4	0	0	0	0	DS	4.8	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	52	0	0	0	0	0	0	10	19.2	42	80.8	0	0	0	0	DS	3.8	"1,802"
Texas		48	3	7	180	0	0	0	0	64	35.6	69	38.3	42	23.3	0	0	5	2.8	DS	1.1	"8,472"
Utah		49	4	8	43	DS	4.7	0	0	DS	4.7	DS	4.7	35	81.4	0	0	DS	4.7	DS	4.7	981
Vermont		50	1	1	16	0	0	DS	12.5	DS	12.5	0	0	12	75	0	0	0	0	0	0	295
Virginia		51	3	5	27	0	0	0	0	DS	7.4	10	37	13	48.1	0	0	DS	7.4	DS	7.4	"1,984"
Washington		53	4	9	33	0	0	0	0	12	36.4	0	0	19	57.6	0	0	DS	6.1	DS	6.1	"2,256"
West Virginia		54	3	5	10	0	0	0	0	0	0	0	0	8	80	0	0	DS	20	0	0	733
Wisconsin		55	2	3	87	DS	2.3	0	0	5	5.7	7	8	69	79.3	DS	2.3	DS	2.3	0	0	"2,242"
Wyoming		56	4	8	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	0	0	349
