County,2000 Assessment Conducted,2000 Fully Immunized,2000 Percentage,2008 Assessment Conducted,2008 Fully Immunized,2008 Percentage,2000-2008 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Sac,23,22,95.70%,3,3,100.00%,4.50%,19_161,19,2,4,,
Scott,440,383,87.00%,413,239,57.90%,-33.50%,19_163,19,2,4,,
Shelby,79,68,86.10%,15,12,80.00%,-7.10%,19_165,19,2,4,,
Sioux,175,162,92.60%,115,93,80.90%,-12.60%,19_167,19,2,4,,
Story,125,119,95.20%,7,6,85.70%,-10.00%,19_169,19,2,4,,
Tama,64,46,71.90%,5,4,80.00%,11.30%,19_171,19,2,4,,
Taylor,52,50,96.20%,10,8,80.00%,-16.80%,19_173,19,2,4,,
Union,100,84,84.00%,104,71,68.30%,-18.70%,19_175,19,2,4,,
Van Buren,44,29,65.90%,6,2,33.30%,-49.40%,19_177,19,2,4,,
Wapello,256,214,83.60%,22,12,54.50%,-34.70%,19_179,19,2,4,,
Warren,31,29,93.50%,7,6,85.70%,-8.40%,19_181,19,2,4,,
Washington,108,90,83.30%,69,61,88.40%,6.10%,19_183,19,2,4,,
Wayne,17,14,82.40%,32,25,78.10%,-5.10%,19_185,19,2,4,,
Webster,155,134,86.50%,39,25,64.10%,-25.90%,19_187,19,2,4,,
Winnebago,16,12,75.00%,4,1,25.00%,-66.70%,19_189,19,2,4,,
Winneshiek,141,133,94.30%,21,19,90.50%,-4.10%,19_191,19,2,4,,
Woodbury,"1,003",907,90.40%,538,310,57.60%,-36.30%,19_193,19,2,4,,
Worth,7,4,57.10%,4,4,100.00%,75.00%,19_195,19,2,4,,
Wright,57,32,56.10%,27,27,100.00%,78.10%,19_197,19,2,4,,
State,"10,253","8,811",85.90%,"5,395","3,930",72.80%,-15.20%,,19,2,4,,
Rural,"2,343","2,025",86.40%,"1,040",825,79.30%,-8.20%,,,,,,IA_Rural_Counties
Small Urban,"4,901","4,173",85.10%,"2,350","1,767",75.20%,-11.70%,,,,,,IA_Urban_Counties
Metropolitan,"3,009","2,613",86.80%,"2,005","1,338",66.70%,-23.20%,,,,,,IA_Metropolitan_Counties
United States*,"30,000","21,210",70.70%,"30,000","22,830",76.10%,7.60%,,,,,US_National,
