State	Nation_ID	State_ID	Region_ID	Division_ID	Total Students	Number of American Indian or Alaska Native	Percent of American Indian or Alaska Native	Number of Asians	Percent of Asians	Number of Hispanic or Latino of any race	Percent of Hispanic or Latino of any race	Number of Black or African American	Percent of Black or African American 	Number of Whites	Percent of Whites	Number of Native Hawaiian or Other Pacific Islander	Percent of Native Hawaiian or Other Pacific Islander	Number of Two or more races	Percent of Two or more races	Number of Students With Disabilities Served Under IDEA	Percent of Students With Disabilities Served Under IDEA	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of English Language Learners	Percent of English Language Learners	Number of Schools
Michigan		26	2	3	603	8	1.3	4	0.7	35	5.8	46	7.6	502	83.3	0	0	8	1.3	212	35.2	6	1	DS	0.3	"3,626"
Minnesota		27	2	4	974	20	2.1	DS	0.2	35	3.6	757	77.7	133	13.7	15	1.5	12	1.2	252	25.9	15	1.5	15	1.5	"2,077"
Mississippi		28	3	6	196	0	0	0	0	4	2	125	63.8	67	34.2	0	0	0	0	50	25.5	0	0	0	0	973
Missouri		29	2	4	119	DS	1.7	DS	1.7	DS	1.7	27	22.7	84	70.6	DS	1.7	0	0	34	28.6	4	3.4	4	3.4	"2,312"
Montana		30	4	8	14	DS	14.3	0	0	DS	14.3	0	0	8	57.1	DS	14.3	0	0	8	57.1	0	0	0	0	781
Nebraska		31	2	4	27	DS	7.4	0	0	DS	7.4	4	14.8	19	70.4	0	0	0	0	25	92.6	0	0	0	0	"1,073"
Nevada		32	4	8	37	DS	5.4	0	0	11	29.7	10	27	10	27	0	0	4	10.8	17	45.9	0	0	DS	5.4	649
New Hampshire		33	1	1	29	0	0	0	0	0	0	0	0	29	100	0	0	0	0	16	55.2	DS	6.9	0	0	478
New Jersey		34	1	2	302	0	0	DS	0.7	58	19.2	208	68.9	34	11.3	0	0	0	0	179	59.3	0	0	0	0	"2,538"
New Mexico		35	4	8	16	4	25	0	0	4	25	DS	12.5	4	25	0	0	DS	12.5	10	62.5	0	0	DS	12.5	853
New York		36	1	2	46	0	0	DS	4.3	DS	4.3	17	37	25	54.3	0	0	0	0	42	91.3	0	0	0	0	"4,864"
North Carolina		37	3	5	33	0	0	0	0	DS	6.1	21	63.6	6	18.2	DS	6.1	DS	6.1	20	60.6	0	0	0	0	"2,535"
North Dakota		38	2	4	10	0	0	0	0	DS	20	DS	20	6	60	0	0	0	0	8	80	0	0	DS	20	468
Ohio		39	2	3	371	0	0	0	0	4	1.1	105	28.3	253	68.2	0	0	9	2.4	137	36.9	4	1.1	4	1.1	"3,702"
Oklahoma		40	3	7	248	22	8.9	4	1.6	21	8.5	83	33.5	114	46	0	0	4	1.6	117	47.2	4	1.6	6	2.4	"1,774"
Oregon		41	9	4	36	DS	5.6	0	0	7	19.4	0	0	27	75	0	0	0	0	32	88.9	0	0	0	0	"1,312"
Pennsylvania		42	1	2	99	0	0	4	4	0	0	41	41.4	50	50.5	0	0	4	4	47	47.5	0	0	4	4	"3,220"
Rhode Island		44	1	1	8	0	0	0	0	0	0	0	0	8	100	0	0	0	0	8	100	0	0	0	0	291
South Carolina		45	3	5	220	0	0	4	1.8	9	4.1	160	72.7	43	19.5	DS	0.9	DS	0.9	50	22.7	0	0	6	2.7	"1,219"
South Dakota		46	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	668
Tennessee		47	3	6	120	0	0	0	0	4	3.3	40	33.3	74	61.7	0	0	DS	1.7	73	60.8	25	20.8	4	3.3	"1,802"
Texas		48	3	7	"1,063"	8	0.8	DS	0.2	537	50.5	337	31.7	162	15.2	DS	0.2	15	1.4	204	19.2	11	1	71	6.7	"8,472"
Utah		49	4	8	65	4	6.2	0	0	8	12.3	4	6.2	47	72.3	0	0	DS	3.1	52	80	0	0	DS	3.1	981
Vermont		50	1	1	20	0	0	DS	10	4	20	0	0	14	70	0	0	0	0	16	80	0	0	0	0	295
Virginia		51	3	5	67	DS	3	0	0	4	6	32	47.8	25	37.3	0	0	4	6	33	49.3	6	9	4	6	"1,984"
Washington		53	4	9	330	7	2.1	0	0	72	21.8	4	1.2	239	72.4	0	0	8	2.4	49	14.8	4	1.2	6	1.8	"2,256"
West Virginia		54	3	5	21	0	0	0	0	0	0	DS	9.5	17	81	0	0	DS	9.5	12	57.1	0	0	0	0	733
Wisconsin		55	2	3	437	8	1.8	4	0.9	17	3.9	18	4.1	382	87.4	DS	0.5	6	1.4	111	25.4	0	0	DS	0.5	"2,242"
Wyoming		56	4	8	4	DS	50	0	0	0	0	0	0	DS	50	0	0	0	0	4	100	0	0	0	0	349
