Discipline by gender	Number of Students With and Without Disabilities	Percent of Students With and Without Disabilities	Number of Students With Disabilities Served Only Under Section 504	Percent of Students With Disabilities Served Only Under Section 504	Number of Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Students Without Disabilities and With Disabilities Served Under IDEA	Number of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Percent of American Indian or Alaska Native Students Without Disabilities and With Disabilities Served Under IDEA	Number of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Asian Students Without Disabilities and With Disabilities Served Under IDEA	Number of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Hispanic or Latino of any race Students Without Disabilities and With Disabilities Served Under IDEA	Number of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Black or African American Students Without Disabilities and With Disabilities Served Under IDEA	Number of White Students Without Disabilities and With Disabilities Served Under IDEA	Percent of White Students Without Disabilities and With Disabilities Served Under IDEA	Number of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Native Hawaiian or Other Pacific Islander Students Without Disabilities and With Disabilities Served Under IDEA	Number of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Percent of Two or more races Students Without Disabilities and With Disabilities Served Under IDEA	Number of English Language Learners With and Without Disabilities	Percent of English Language Learners With and Without Disabilities	Number of Schools	State_ID	Region_ID	Division_ID
More than one out-of-school suspension on females	"1,331"	27.3	46	0.9	"1,285"	26.3	7	0.2	7	0.2	87	1.9	81	1.7	"1,093"	23.4	0	0	10	0.2	47	1	478	33	1	1
More than one out-of-school suspension total	"4,881"	100	217	4.4	"4,664"	95.6	17	0.4	46	1	331	7.1	274	5.9	"3,966"	85	DS	0	28	0.6	159	3.3	478	33	1	1
One or more out-of-school suspensions on males	"7,264"	72.6	305	3	"6,959"	69.5	17	0.2	81	0.8	394	4.1	357	3.7	"6,061"	63.1	DS	0	47	0.5	180	1.8	478	33	1	1
One or more out-of-school suspensions on females	"2,747"	27.4	98	1	"2,649"	26.5	10	0.1	17	0.2	149	1.6	150	1.6	"2,299"	23.9	DS	0	22	0.2	86	0.9	478	33	1	1
One or more out-of-school suspensions total	"10,011"	100	403	4	"9,608"	96	27	0.3	98	1	543	5.7	507	5.3	"8,360"	87	4	0	69	0.7	266	2.7	478	33	1	1
Expulsions with educational services on males	20	74.1	0	0	20	74.1	0	0	DS	7.4	4	14.8	DS	7.4	12	44.4	0	0	0	0	DS	7.4	478	33	1	1
Expulsions with educational services on females	7	25.9	0	0	7	25.9	0	0	0	0	0	0	0	0	7	25.9	0	0	0	0	0	0	478	33	1	1
Expulsions with educational services total	27	100	0	0	27	100	0	0	DS	7.4	4	14.8	DS	7.4	19	70.4	0	0	0	0	DS	7.4	478	33	1	1
Expulsions without educational services on males	26	81.3	0	0	26	81.3	0	0	0	0	DS	6.3	DS	6.3	22	68.8	0	0	0	0	0	0	478	33	1	1
Expulsions without educational services on females	6	18.8	0	0	6	18.8	0	0	0	0	DS	6.3	DS	6.3	DS	6.3	0	0	0	0	0	0	478	33	1	1
Expulsions without educational services total	32	100	0	0	32	100	0	0	0	0	4	12.5	4	12.5	24	75	0	0	0	0	0	0	478	33	1	1
Expulsions with or without educational services on males	43	75.4	0	0	43	75.4	0	0	DS	3.5	4	7	DS	3.5	35	61.4	0	0	0	0	DS	3.5	478	33	1	1
Expulsions with or without educational services on females	14	24.6	0	0	14	24.6	0	0	0	0	DS	3.5	DS	3.5	10	17.5	0	0	0	0	0	0	478	33	1	1
Expulsions with or without educational services total	57	100	0	0	57	100	0	0	DS	3.5	6	10.5	4	7	45	78.9	0	0	0	0	DS	3.5	478	33	1	1
Expulsions under zero-tolerance policies on males	6	60	0	0	6	60	0	0	0	0	DS	20	DS	20	DS	20	0	0	0	0	DS	20	478	33	1	1
Expulsions under zero-tolerance policies on females	4	40	0	0	4	40	0	0	0	0	0	0	DS	20	0	0	0	0	DS	20	0	0	478	33	1	1
Expulsions under zero-tolerance policies total	10	100	0	0	10	100	0	0	0	0	DS	20	4	40	DS	20	0	0	DS	20	DS	20	478	33	1	1
Referral to law enforcement on males	"1,454"	71.9	72	3.6	"1,382"	68.3	4	0.2	12	0.6	44	2.3	38	2	"1,264"	65.3	DS	0.1	18	0.9	12	0.6	478	33	1	1
Referral to law enforcement on females	569	28.1	16	0.8	553	27.3	4	0.2	4	0.2	20	1	11	0.6	510	26.4	0	0	4	0.2	DS	0.1	478	33	1	1
Referral to law enforcement total	"2,023"	100	88	4.3	"1,935"	95.7	8	0.4	16	0.8	64	3.3	49	2.5	"1,774"	91.7	DS	0.1	22	1.1	14	0.7	478	33	1	1
School-related arrests on males	269	71.7	15	4	254	67.7	DS	0.6	4	1.1	22	6.1	10	2.8	212	58.9	DS	0.6	DS	0.6	4	1.1	478	33	1	1
School-related arrests on females	106	28.3	0	0	106	28.3	DS	0.6	0	0	14	3.9	6	1.7	80	22.2	0	0	4	1.1	0	0	478	33	1	1
School-related arrests total	375	100	15	4	360	96	4	1.1	4	1.1	36	10	16	4.4	292	81.1	DS	0.6	6	1.7	4	1.1	478	33	1	1
