County,2000 Child Population,2000 Below Poverty ,Percentage,2005 Child Population,2005 Below Poverty,Percentage,2000-2005 Change,County_ID,State_ID,Region_ID,Division_ID,Nation_ID,IA_Region
Jasper,"8,892",658,7.40%,"8,216",838,10.20%,37.80%,19_050,19,2,4,,
Jefferson,"3,664",524,14.30%,"3,053",580,19.00%,32.80%,19_051,19,2,4,,
Johnson,"21,967","1,977",9.00%,"20,917","2,510",12.00%,33.30%,19_052,19,2,4,,
Jones,"4,559",465,10.20%,"4,081",555,13.60%,33.30%,19_053,19,2,4,,
Keokuk,"2,816",414,14.70%,"2,509",414,16.50%,12.20%,19_054,19,2,4,,
Kossuth,"4,112",514,12.50%,"3,454",487,14.10%,12.80%,19_055,19,2,4,,
Lee,"8,652","1,220",14.10%,"7,774","1,446",18.60%,31.90%,19_056,19,2,4,,
Linn,"47,513","3,611",7.60%,"46,298","6,065",13.10%,72.40%,19_057,19,2,4,,
Louisa,"3,209",414,12.90%,"2,869",439,15.30%,18.60%,19_058,19,2,4,,
Lucas,"2,273",375,16.50%,"2,110",462,21.90%,32.70%,19_059,19,2,4,,
Lyon,"3,120",312,10.00%,"2,938",285,9.70%,-3.00%,19_119,19,2,4,,
Madison,"3,680",276,7.50%,"3,570",307,8.60%,14.70%,19_121,19,2,4,,
Mahaska,"5,430",619,11.40%,"5,036",705,14.00%,22.80%,19_123,19,2,4,,
Marion,"7,928",658,8.30%,"7,202",749,10.40%,25.30%,19_125,19,2,4,,
Marshall,"9,561","1,262",13.20%,"9,136","1,480",16.20%,22.70%,19_127,19,2,4,,
Mills,"3,653",369,10.10%,"3,518",394,11.20%,10.90%,19_129,19,2,4,,
Mitchell,"2,741",403,14.70%,"2,541",376,14.80%,0.60%,19_131,19,2,4,,
Monona,"2,122",295,13.90%,"1,900",323,17.00%,22.30%,19_133,19,2,4,,
Monroe,"1,936",271,14.00%,"1,755",344,19.60%,40.00%,19_135,19,2,4,,
Montgomery,"2,755",394,14.30%,"2,497",422,16.90%,18.20%,19_137,19,2,4,,
Muscatine,"10,737","1,224",11.40%,"10,322","1,569",15.20%,33.30%,19_139,19,2,4,,
O'Brien,"3,542",340,9.60%,"3,000",309,10.30%,7.30%,19_141,19,2,4,,
Osceola,"1,726",164,9.50%,"1,500",156,10.40%,9.50%,19_143,19,2,4,,
Page,"3,682",567,15.40%,"3,156",647,20.50%,33.10%,19_145,19,2,4,,
Palo Alto,"2,278",287,12.60%,"1,992",265,13.30%,5.60%,19_147,19,2,4,,
Plymouth,"6,711",510,7.60%,"5,933",534,9.00%,18.40%,19_149,19,2,4,,
Pocahontas,"2,031",262,12.90%,"1,623",250,15.40%,19.40%,19_151,19,2,4,,
Polk,"95,011","8,931",9.40%,"97,045","10,675",11.00%,17.00%,19_153,19,2,4,,
Pottawattamie,"21,694","2,690",12.40%,"20,823","3,290",15.80%,27.40%,19_155,19,2,4,,
Poweshiek,"4,092",401,9.80%,"3,627",457,12.60%,28.60%,19_157,19,2,4,,
Ringgold,"1,237",266,21.50%,"1,085",295,27.20%,26.40%,19_159,19,2,4,,
Sac,"2,617",369,14.10%,"2,226",354,15.90%,12.80%,19_161,19,2,4,,
Scott,"40,485","5,263",13.00%,"38,158","6,754",17.70%,36.20%,19_163,19,2,4,,
Shelby,"3,263",310,9.50%,"2,763",315,11.40%,20.00%,19_165,19,2,4,,
Sioux,"8,240",618,7.50%,"7,683",630,8.20%,9.30%,19_167,19,2,4,,
Story,"14,653","1,055",7.20%,"12,468","1,172",9.40%,30.60%,19_169,19,2,4,,
Tama,"4,540",563,12.40%,"4,189",553,13.20%,6.50%,19_171,19,2,4,,
Taylor,"1,541",245,15.90%,"1,369",215,15.70%,-1.20%,19_173,19,2,4,,
Union,"2,701",362,13.40%,"2,508",469,18.70%,39.50%,19_175,19,2,4,,
Van Buren,"1,811",317,17.50%,"1,639",359,21.90%,25.10%,19_177,19,2,4,,
Wapello,"8,030","1,357",16.90%,"7,843","1,545",19.70%,16.60%,19_179,19,2,4,,
Warren,"10,571",666,6.30%,"9,788",783,8.00%,27.00%,19_181,19,2,4,,
Washington,"5,243",540,10.30%,"5,034",740,14.70%,42.70%,19_183,19,2,4,,
Wayne,"1,546",303,19.60%,"1,379",309,22.40%,14.30%,19_185,19,2,4,,
Webster,"9,352","1,197",12.80%,"8,584","1,485",17.30%,35.20%,19_187,19,2,4,,
Winnebago,"2,646",254,9.60%,"2,341",309,13.20%,37.50%,19_189,19,2,4,,
Winneshiek,"4,653",349,7.50%,"3,885",338,8.70%,16.00%,19_191,19,2,4,,
Woodbury,"27,265","3,708",13.60%,"26,481","5,561",21.00%,54.40%,19_193,19,2,4,,
Worth,"1,784",173,9.70%,"1,606",167,10.40%,7.20%,19_195,19,2,4,,
Wright,"3,347",338,10.10%,"2,988",484,16.20%,60.40%,19_197,19,2,4,,
State,"703,812","75,952",10.80%,"657,708","91,701",13.90%,29.20%,,19,2,4,,
Rural,"118,325","13,861",11.70%,"105,489","14,720",14.00%,19.10%,,,,,,IA_Rural_Counties
Small Urban,"266,601","29,208",11.00%,"243,698","33,596",13.80%,25.80%,,,,,,IA_Urban_Counties
Metropolitan,"318,886","32,883",10.30%,"308,521","43,385",14.10%,36.40%,,,,,,IA_Metropolitan_Counties
United States,"71,525,420","11,587,118",16.20%,"72,217,691","13,360,273",18.50%,14.20%,,,,,US_National,
